series,季節調整系列,季節調整系列,季節調整系列,季節調整系列,季節調整系列,季節調整系列,季節調整系列,原系列,原系列,原系列,原系列,原系列,原系列,原系列
demand,受注額合計,海外需要,官公需計,民間需要合計,民間需要（船舶・電力を除く）,民間需要_製造業計,民間需要_非製造業（船舶・電力を除く）,受注額合計,海外需要,官公需計,民間需要合計,民間需要（船舶・電力を除く）,民間需要_製造業計,民間需要_非製造業（船舶・電力を除く）
date,,,,,,,,,,,,,,
2025-06-01,31170.059694699998,13843.0521977,4432.8154711,11376.7565961,9360.4856205,4156.8335916,5127.0838152,32587.26,15184.01,3659.76,12301.05,9843.25,4505.74,5382.72
2025-07-01,30300.3059108,12875.0139717,5088.8857957,11646.4963645,9064.0523936,4292.5322439,4984.2783243,27836.67,12051.08,3447.37,10809.41,8586.25,4118.35,4545.36
2025-08-01,32133.580617999996,15976.3802098,3265.4635771000003,10723.196317700002,9031.5235687,4308.6389399,4743.3694685,26927.74,14708.78,2332.71,8735.42,7292.08,3663.82,3768.32
2025-09-01,33002.3658129,17391.5269181,3239.588958,11335.8639838,9318.0897835,5092.0107003,4366.8952265,37939.7,18954.88,4374.61,13234.38,11017.48,5708.34,5332.12
2025-10-01,31351.052854499998,13818.5784135,4725.1431301,11495.070935500002,9859.6592879,4465.2499984,5452.939605799999,27955.58,12649.47,3737.38,10049.98,9003.89,4190.48,4833.98
2025-11-01,33575.6402856,14468.4899514,6943.4238411,10960.402649999998,8956.4434265,4131.5681642,4951.7772049,28597.99,13501.72,4635.54,9055.31,7626.59,3441.12,4221.03
2025-12-01,40221.127086299995,19607.4173687,6619.0929795,13352.8140499,10399.6883779,4981.5077585,5275.9784838,45745.51,22677.34,6530.94,15117.14,11155.36,5311.68,5870.51
2026-01-01,39420.634821700005,19654.2205456,5752.544787899999,12617.6731319,9824.284098,4358.1621078,5632.281091999999,33098.05,18384.63,3471.9,9917.96,7864.7,3527.05,4369.84
2026-02-01,37443.0492602,18653.3803466,4658.2374172,12390.457751599999,11158.6590544,5695.0544275,5684.4182894000005,34162.76,16812.22,5027.67,10946.63,9705.41,4875.56,4881.6
2026-03-01,39065.986306599996,24445.241022000002,3981.5339908,11734.5087026,10108.909200600001,4883.9408216,5343.0674144,63610.78,31636.93,10589.21,19656.86,16272.47,7499.13,9087.88
