ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
932335,2025/1/20,宇都宮営業部,自動車,ノア,Rサービス業（他に分類されないもの）,5.84,3.2368,32.46,32.46,1.218,1.809,1.553,1.357,,2.18,,1.5,,要注意先,新規先,自動車リース,1,当社受注,,2,銀行,3.001827,60,6.03%
913608,2025/4/24,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないも）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.3295,60,1.52%
906373,2025/4/21,宇都宮営業部,一般,PC5台＋セキュリティ5兄弟＋複合機,H 運輸業・郵便業,278.338,31.3844,525.599,133.249,45.973,132.343,62.6,9.449,39.41,41.934,29.904,1.275,0,5,既存先,一般リース,1,当社受注,,2,銀行,4.258916,60,2.51%
913608,2025/4/24,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,1.23,60,1.61%
913608,2025/4/24,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,0.23165,60,1.53%
913608,2025/4/24,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分離されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.81,60,1.54%
913608,2025/4/24,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分顔されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.224,60,1.57%
910447,2025/5/12,宇都宮営業部,自動車,トヨタダイナ,E 製造業,329.208,2.6275,383.391,220.74,19.791,40.522,11.827,0,15.433,5.076,0,22.323,2.37,無格付,既存先,自動車リース,1,当社受注,,2,銀行,2.1994,60,4.09%
950594,2024/7/12,宇都宮営業部,一般,給材トロリー入替工事,E 製造業,164.948,19.0149,684.021,153.835,10.967,6.915,3.537,4.344,7.635,44.002,96.549,7.37,4.189,要注意先,既存先,一般リース,1,当社受注,,2,銀行,11.5,84,3.50%
908798,2025/2/4,宇都宮営業部,割賦,プロゲーター,E 製造業,445.814,41.62667,648.445,402.032,52.506,35.458,31.096,12.803,59.326,74.295,9.656,41.146,0.825,無格付,既存先,割賦,1,当社受注,,,銀行,8,60,1.81%
