ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
978548,2025/11/4,宇都宮営業部,割賦,日立ホイールローダー,E 製造業,190829,148939.53,1395963,744966,378235,395050,63186,26150,94897,314020,16877,10437,14858,,既存先,割賦,2,失注,他社競合（レート）,2,銀行,2100,60,2.56%
932365,2025/4/4,宇都宮営業部,自動車,いす”FORWARD,E製造業,13320,0,248342,48846,7485,8715,10462,1400,5481,31926,407,764,2400,0,新規先,自動車リース,2,失注,数値演見合せ（造・提意）,2,銀行,10400,60,2.54%
933488,2025/9/29,宇都宮営業部,一般,ラベルプリンタ,p 医療・福祉,98333,2726.8,4564804,3644365,82919,58833,43966,103750,,21814,3134,173323,,5,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,5177.9,60,2.54%
921202,2025/10/6,宇都宮営業部,自動車,再加熱キャビネット,p 医療・福祉,80688,0,819092,726940,6720,25137,18295,39722,,16465,,69036,,8.1,既存先,自動車リース,2,失注,設費後資見合せ（新・超期）,2,銀行,970.682,29,3.06%
933935,2025/11/19,宇都宮営業部,自動車,XC60 UltraT6 AWD,D建設業,10000,0,98465,36274,32,-389,069-,4789,3674,10807,,1492,775,0,新規先,自動車リース,,失注,物件不適,2,銀行,9839.636,60,4.01%
933446,2025/8/19,宇都宮営業部,自動車,メルセデスベンツ,1卸売業・小売業,50000,0,255809,43275,9757,8892,6885,2057,0,878,,2571,U,,新規先,自動車リース,2,失注,数電投資売合せ（新・菜）,2,銀行,10844.704,60,2.51%
909193,2025/7/28,宇都宮営業部,一般,CNC旋盤,E 製造業,5772,0,73852,13216,-4748,-3023,-3104,0,9433,31975,,360,1572,0,新規先,一般リース,,失注,業績不振,2,銀行,13500,84,5.01%
932848,2025/5/2,宇都宮営業部,一般,CNC画像測定器,E製造業,62670,0,646965,59625,8147,I669,11922,563,42382,97421,l,4159,9857,9,新規先,一般リース,2,失注,他社合（レート）,2,銀行,18800,120,2.51%
933656,2025/10/1,宇都宮営業部,一般,業務用パソコン 3台,E製造業,20000,0,203402,42095,-15323,-4052,-3297,2563,4253,5642,,9946,594,,新規先,一般リース,2,失注,他社競合（レート）,2,銀行,850,60,2.63%
933734,2025/10/28,宇都宮営業部,自動車,ハイエースV R02年 ： ハイエースバン DX,D建設業,32497,0,269987,82161,9977,12433,3540,2768,0,706,,3260,,9,既存先,自動車リース,2,失注,男方法次更（開発・自己責金）,2,銀行,4644.547,60,3.51%
919936,2025/8/15,宇都宮営業部,自動車,GIGA20（標準）ダンプ,1卸売業・小売業,120744,7787.9,429258,114176,-1648,157,76,,,12700,,6002,0,8.1,既存先,自動車リース,2,失注,設■投資見合せ（禁・思席）,2,銀行,15800,60,3.50%
922176,2025/8/26,宇都宮営業部,自動車,GIGAセミトラクタ,H 運輪業・郵便業,126077,38469.3,395863,57833,963,-420,2646,1815,29867,51605,,1428,,,既存先,自動車リース,2,失注,新方法大更（製造・魚己資金）,,銀行,13065.064,60,2.51%
926690,2025/10/15,宇都宮営業部,自動車,トヨタL&F カウンターバランス ディーゼルエンジン式,E 製造業,21833,0,511187,58626,7333,7916,6110,434,8461,12779,,17327,0,,新規先,自動車リース,1,当社受注,,,銀行,2760,60,2.55%
910652,2025/9/24,宇都宮営業部,一般,ビジネスホン,1卸売業・小売業,131558.143,1075,371093,132226,1850,1465,1465,5775,0,10518,,12730,,8_2,既存先,一般リース,2,失注,黒倉方法変更（剛・自己貴金）,2,銀行,700,60,4.30%
931129,2025/7/24,宇都宮営業部,一般,ATLUS NEXT 基本システム,D建設業,40197,0,359661,25942,1449,184,183,1012,,221,143,3129,37475,,新規先,一般リース,2,失注,農産方法変更（避費・自金）,2,銀行,2900,60,2.83%
909477,2025/5/21,宇都宮営業部,自動車,FORWARD 7T（標準）,Rサービス業（他に分類されないもの）,176326,24719.6,735081,369502,-13254,-3725,10054,24793,,2663,,119344,,9,既存先,自動車リース,1,当社受注,,2,銀行,22000,60,2.26%
933524,2025/9/4,宇都宮営業部,自動車,トヨタ ハイエースDX,1卸売業・小売業,172631.366,0,4069968,510787,-44157,6413,4237,8744,,1073,538,62187,,8_1,新規先,自動車リース,1,当社受注,,2,銀行,2470.236,60,3.28%
933591,2025/9/18,宇都宮営業部,一般,デスクトップPC,E製造業,90000,0,447280,80661,10579,9128,7670,4779,2920,19379,-84596,2107,28341,2,新規先,一般リース,1,当社受注,,,銀行,669.4,36,1.86%
910550,2025/5/29,宇都宮営業部,一般,業務用パソコン,E 製造業,174390.828,225,409523,55683,-99409,-80263,-73667,4161,16501,12738,9570,12311,,8.1,既存先,一般リース,1,当社受注,,,銀行,5080,60,4.02%
910645,2025/9/19,宇都宮営業部,自動車,ノート e-POWER,E 製造業,284144,7153.2,391945,133088,10049,23303,28291,8768,22498,1460409,-1677852,95,4680,2,既存先,自動車リース,1,当社受注,,2,銀行,2953.805,48,2.27%
922177,2025/6/24,宇都宮営業部,自動車,UDトラクタ①,D建設業,19044,0,338520,84884,7616,2851,2166,18508,20834,72512,9433,4512,17728,l,新規先,自動車リース,1,当社受注,,2,銀行,14950,60,2.02%
921202,2025/10/6,宇都宮営業部,一般,再加熱キャビネット,p 医療・福祉,80688,0,819092,726940,6720,25137,18295,39722,,16465,0,69036,D,8_1,新規先,一般リース,1,当社受注,,2,銀行,391.6,60,2.76%
918285,2025/7/22,宇都宮営業部,自動車,レクサス •ES300h,Rサービス業（他に分類されないもの）,754285,0,426269,416879,$9669,167715,100623,65368,,371,124939,82721,,,新規先,自動車リース,1,当社受注,,2,銀行,5983.054,60,2.02%
906290,2025/11/11,宇都宮営業部,一般,水質浄化装置,Rサービス業（他に分類されないもの）,28500,13680.78,3537886,2545288,524344,469336,314750,93827,,297,5933,433530,D,,既存先,一般リース,1,当社受注,,2,銀行,2178,60,2.54%
933684,2025/10/6,宇都宮営業部,一般,パソコン,E 製造業,126038,0,212091,66856,14766,24528,24255,0,11591,21614,U,,226,,新規先,一般リース,1,当社受注,,,銀行,1190,60,2.62%
910652,2025/10/31,宇都宮営業部,割賦,ビジネスホン,1卸売業・小売業,131558.143,1075,371093,132226,1850,1465,1465,5775,0,10518,,12730,0,8_2,既存先,割賦,1,当社受注,,2,銀行,700,60,4.17%
923670,2025/10/17,宇都宮営業部,一般,パソコン4台,D建設業,2800,6904,851415,104686,19815,22856,15432,3283,37258,70554,8188,2341,12748,5,既存先,一般リース,1,当社受注,,2,銀行,1167,60,2.27%
932385,2025/5/26,宇都宮営業部,割賦,フォークリフト,D 建設業,39012.5,33379.1,634224,92839,6655,11364,7128,10897,31053,46717,460,961,34733,,既存先,割賦,1,当社受注,,2,銀行,3400,60,3.21%
912521,2025/3/11,宇都宮営業部,一般,目砂散布機②,1卸売業・小売業,18550,12250.68,120000,120000,28264,35008,18857,21443,,13337,1490341,45810,,,既存先,一般リース,1,当社受注,,2,銀行,11400,60,2.11%
906081,2025/7/31,宇都宮営業部,一般,全身用X線CT装置,p 医療・福祉,11650,D,161456,161456,881,1457,1376,4294,D,40482,-53535,8167,,,既存先,一般リース,1,当社受注,,2,銀行,6606.3,96,2.72%
933066,2025/6/9,宇都宮営業部,一般,電話設（更新,Rサービス（他に分類されないもの）,44996,,1235434,298005,225480,226168,158474,U,4356,1029,,,13035,4,新規先,一般リース,1,当社受注,,,銀行,2440,60,3.04%
924572,2025/8/4,宇都宮営業部,一般,IDC在宅ケアマネジメント支援システムSP/追加,Rサービス業（他に分類されないもの）,545901,3881.54,2390184,397191,79723,84543,55579,13478,210003,,239559,950,64779,5,既存先,一般リース,2,失注,関東方法文更（開発・自己資金）,2,銀行,192,60,3.53%
921202,2025/10/6,,一般,再加熱キャビネット,p 医療・福祉,80688,,819092,726940,6720,25137,18295,39722,0,16465,,69036,0,8_1,既存先,一般リース,1,当社受注,,2,銀行,1001.1,60,2.86%
933622,2025/9/30,宇都宮営業部,一般,トヨタL＆Fバッテリーフォークリフト,E 製造業,30000,,591819,81579,7056,5558,5469,11950,0,9830,,8720,,0,新規先,一般リース,2,失注,他社競合（レート）,2,銀行,2480,60,2.63%
921873,2025/4/2,宇都宮営業部,割賦,屋内消火栓ポンプ,Rサービス薬（他に分類されないもの）,51000,23506.95,2327629,2042381,82619,31824,23875,153546,0,58689,,180183,0,9,既存先,割賦,1,当社受注,,2,銀行,5860,84,3.24%
913584,2025/10/6,宇都宮営業部,一般,ファイバーレーザー切断加工機,E製造業,603062,0,3534829,264918,101617,125889,101670,28420,18852,70945,90,23500,22390,,新規先,一般リース,1,当社受注,,2,銀行,3141.3,60,2.07%
929170,2025/7/8,宇都宮営業部,一般,ニチュプラッター,1卸売業・小売業,123328,,1050884,189129,34900,33786,-34649,3693,U,,,8575,,9,新規先,一般リース,1,当社受注,,2,銀行,2584,60,2.56%
928282,2025/10/10,宇都宮営業部,自動車,新型カローラツーリングX,1卸売業・小売業,38787,1353,968943,146074,29970,30977,8576,7411,,0,9012,922,,,既存先,自動車リース,1,当社受注,,2,銀行,5943.325,60,2.61%
917767,2025/7/25,宇都宮営業部,一般,オイルミスト用エアコン,E 製造業,38609,0,193083,82230,23050,21788,21578,,5057,2576,,2450,5733,,既存先,一般リース,1,当社受注,,2,銀行,7700,60,2.20%
908806,2025/6/2,宇都宮営業部,自動車,CROSSTREK Limit ed 2. 0L e-BOXER,M 宿泊業・飲食サービス業,217005.12E,4777.7,559433,433852,5553,9184,1085,31707,,1965,5192,36443,,8_2,既存先,自動車リース,1,当社受注,,2,銀行,3240.845,60,3.54%
910633,2025/9/10,宇都宮営業部,一般,HP製 パソコン10台,E 製造業,300553,17824.75,1030196,86972,-77182,5568,8716,,105073,108769,,2023,5063,,既存先,一般リース,1,当社受注,,2,銀行,1530,60,2.62%
906290,2025/10/21,宇都宮営業部,一般,水質浄化装置,Rサービス（他に分類されないもの）,28500,13680.78,3537886,2545288,524344,469336,314750,93827,,297,5933,433530,,4,既存先,一般リース,1,当社受注,,2,銀行,1257,60,2.62%
907066,2025/1/14,宇都宮営業部,自動車,いすダエルフ3t,E 製造業,63858,1401.6,625629,87856,2150,2145,2101,12451,7597,327065,-590007,1805,5959,8_1,既存先,自動車リース,1,当社受注,,2,銀行,5557,60,3.60%
911609,2025/10/7,宇都宮営業部,自動車,いす”フォワード,D 建設業,98690,2882.3,826749,64857,15251,16387,21115,8655,23746,115949,,2233,2874,,既存先,自動車リース,,当社受注,,2,銀行,12514,60,2.00%
919633,2025/9/12,宇都宮営業部,割賦,高圧洗浄機,Rサービス業（他に分類されないもの）,39092,316.75,203098,44273,17995,17501,13381,180,,,,1086,119,,既存先,割賦,1,当社受注,,2,銀行,413.3,60,4.45%
910805,2025/9/29,宇都宮営業部,一般,回転式たててすり,p 医療・福祉,714028,2091,549971,549971,1399,-9804,-9804,64125,,,13403,4462,,,既存先,一般リース,1,当社受注,,2,銀行,1600,60,3.04%
912485,2025/8/26,宇都宮営業部,自動車,KOTO製油圧ラフター,D建設業,122500,30226.6,1575669,231798,23949,38435,39641,26354,21414,71128,,4550,303802,2,既存先,自動車リース,,当社受注,,2,銀行,63500,72,2.05%
933695,2025/10/7,宇都宮営業部,一般,HP Pro SFF 400 G9,E 製造業,52584,,464843,93251,-25848,5798,2461,11272,24019,82363,1089,5445,1520,5,新規先,一般リース,1,当社受注,,2,銀行,2511.2,60,2.62%
915186,2025/9/18,宇都宮営業部,一般,複合機,D建設業,670000,8282.02,9016022,633805,408497,399898,326153,13421,78102,3043,,430,69301,5,既存先,一般リース,2,失注,「止方法更（製造・自己書）,2,銀行,800,60,2.70%
916471,2025/6/5,宇都宮営業部,自動車,いす ”FORWARD 4t,H 運輪業・郵便業,31489,9231.7,1484436,228865,17406,41307,35877,4720,19546,4785,0,5491,52254,9,既存先,自動車リース,,失注,他社競合（レート）,2,銀行,10500,60,1.91%
927414,2025/10/21,宇都宮営業部,自動車,メルセデスベンツ Gクラス,E製造業,54200,294,64256,34142,11617,11378,7779,1250,,1894,0,1235,,4,既存先,自動車リース,,失注,放電検資見合せ（※週・越糖）,2,銀行,8484.87：,36,4.00%
916471,2025/6/5,宇都宮営業部,自動車,いす ”FORWARD 4t,H 運輸業・郵便業,31489,9231.7,1484436,228865,17406,41307,35877,4720,19546,4785,0,5491,52254,,既存先,自動車リース,2,失注,他社態合（レート）,2,銀行,19500,60,1.90%
