取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
922450,2025-01-23,0,p 医療・福祉,0,既存先,0,銀行紹介,2025,60,1.206,0,サーバー機／調剤くんV8,0,0,0,0,一般,1250.591,486.195,17.183,16.57,10.802,0,0,55.352,0,26.243,0,40.47,0,69.158,12.3348,0,5,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.50,0,他社競合（レート）,0,0,他社競合（レート）
926668,2025-05-21,0,Rサービス業（他に分類されないもの）,0,新規先,0,銀行紹介,2025,60,1.2,0,ビデオカメラ,0,0,0,0,一般,574.738,238.498,7.586,1.043,3.123,0,0,0.134,0.772,28.708,0,15.933,0,0.254,0,0,9,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.38,0,0,0,0,0
923484,2025-02-10,0,D建設業,0,既存先,0,銀行紹介,2025,60,3.39427,0,トヨタハイエースパン,0,0,0,0,自動車,2088.561,365.999,71.345,58.118,30.54,0,0,37.752,0,16.569,18.251,10.074,21.026,367.886,27.9859,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.54,0,0,0,0,0
932741,2025-04-07,0,H 運輸業・郵便業,0,新規先,0,銀行紹介,2025,60,3.4301,0,トヨタ ヴォクシー S-Z,0,0,0,0,自動車,278.5,173.106,23.275,27.633,27.55,0,0,3.542,0,3.717,0,1.709,0,25.612,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.51,0,他社競合（レート）,0,0,他社競合（レート）
910811,2025-08-07,0,Rサービス業（他に分類されないも）,0,新規先,0,銀行紹介,2025,60,18,0,GIGA25（標準）,0,0,0,0,一般,6266.249,1131.811,498.885,577.106,275.891,0,0,837.072,-3071.213,35.405,268.34,66.342,1117.613,13.316,0,0,5,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.01,0,他社競合（レート）,0,0,他社競合（レート）
932608,2025-07-14,0,E製造業,0,新規先,0,銀行紹介,2025,84,18.464,0,排水処理設備,0,0,0,0,一般,2183.952,242.991,-21.362,30.973,16.702,0,0,124.949,2.091,4.761,44.081,6.999,0.877,50,0,0,3,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.50,0,他社競合（レート）,0,0,他社競合（レート）
931137,2025-08-12,0,Rサービス第（他に分類されないもの）,0,既存先,0,その他,2025,60,8.444627,0,③中古エルフ2t（初年度H26年10月）,0,0,0,0,自動車,855.587,437.774,47.605,47.33,35.299,0,0,31.476,0,22.783,0,49.773,0,168.586,20.1438,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
933175,2025-06-30,0,D建設業,0,新規先,0,銀行紹介,2025,60,1.785182,0,トヨタ プロボックスパン,0,0,0,0,自動車,2326.007,279.601,49.758,72.756,48.651,0,0,7.845,0,1.538,4.075,42.239,52.116,0,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.57,0,0,0,0,0
933220,2025-07-04,0,E製造業,0,新規先,0,銀行紹介,2025,84,4.39,0,薄型地上式トラックスケール,0,0,0,0,割賦,142.362,17.433,-1.73,-1.741,-1.741,0,0,4.523,0,0.959,2.573,0.378,0.712,14.2,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.81,0,販産庁品変更（越・自呂金）,0,0,販産庁品変更（越・自呂金）
911609,2025-03-26,0,D 建設業,0,既存先,0,銀行紹介,2025,60,29.589759,0,いす※フォワード,0,0,0,0,自動車,826.749,64.857,15.251,16.387,21.115,0,0,115.949,0,8.655,23.746,2.233,2.874,98.69,2.8823,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.01,0,他社競合（レート）,0,0,他社競合（レート）
925484,2025-04-18,0,E 製造業,0,既存先,0,銀行紹介,2025,60,2.420773,0,トヨタカローラツーリング,0,0,0,0,自動車,904.136,312.848,141.562,152.871,100.675,0,0,8.238,0.218,3.384,4.286,5.082,3.556,0,7.5642,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.32,0,0,0,0,0
906001,2025-08-18,0,E製造業,0,既存先,0,銀行紹介,2025,96,18.3,0,CNCツインヘッドベンディングマシン,0,0,0,0,一般,554.671,3.891,-118.141,-85.465,-99.664,0,0,12.336,23.244,8.969,40.818,14.756,0,88.36,14.2354,0,要注意先,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.20,0,業績不振,0,0,業績不振
913970,2025-08-05,0,1卸売業・小売業,0,新規先,0,銀行紹介,2025,60,3.967164,0,岩通製ビジネスホン,0,0,0,0,自動車,1506.503,205.666,57.356,58.726,79.155,0,0,91.427,7.307,31.237,0,21.126,0,504.396,0,0,5,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.55,0,共方法次更（※★・自己資金）,0,0,共方法次更（※★・自己資金）
933238,2025-08-28,0,E 製造業,0,既存先,0,銀行紹介,2025,25,0.02,0,フォークリフト,0,0,0,0,自動車,1811.909,114.92,6.439,-4.204,-4.438,0,0,81.138,0.508,1.813,26.97,3.265,1.777,324.093,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,0,0,0,0,0,0
