ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
906164,2026/3/13,宇都宮営業部,一般,Allin One Meeting Board,1卸売業・小売業,375.809,0.55895,3023.014,724.223,59.738,81.284,51.628,19.444,,0.246,15.931,42.92,,4,既存先,一般リース,2,失注,設備投資見合せ（諸退・延用）,2,銀行,1.3597,60,2.73%
934364,2026/2/2,宇都宮営業部,一般,業務用冷凍庫,E製造業,33.589,0,58.279,17.21,-12.71,-13.25,-12.415,1.488,0.752,5.975,0.283,2.897,4.686,9,新規先,一般リース,2,失注,男方法大王（製・自己資金）,2,銀行,0.4505,60,3.06%
912521,2025/10/6,宇都宮営業部,一般,目砂散布機②,1卸売業・小売業,18.55,12.25068,120,120,28.264,35.008,18.857,21.443,,13.337,1490.341,45.81,,無格付,既存先,一般リース,2,失注,他社競合（レート）,,銀行,4.51,60,2.84%
934091,2025/12/18,宇都宮営業部,一般,インクジェットプリンタ,Rサービス業（他に分類されないもの）,5.068,0,61.13,17.423,3.504,3.098,2.922,1.691,,,,0.77,,無格付,新規先,一般リース,,失注,開場方法変更（脱費・自己責金）,,銀行,3.3,60,3.06%
921315,2026/2/24,宇都宮営業部,自動車,いす”中古トラック（令和2年式）③,H 運輪業・郵便業,78.75,2.8077,6099.201,501.542,206.917,229.417,106.062,,114.997,111.843,,0.82,635.379,無格付,既存先,自動車リース,,失注,他社熱合（レート）,1,ユーザー,11.9,60,2.70%
976690,2026/3/11,宇都宮営業部,割賦,H27年製ブルドーザー,E 製造業,919.519454,63.43841,9847.763,1192.048,215.27,267.634,185.572,46.653,679.934,2862.065,71.899,43.606,154.274,2,既存先,割賦,2,失注,他社競合（レート）,2,銀行,15.8,24,2.20%
928504,2026/2/16,宇都宮営業部,一般,キセノン光線治療器,p 医療・福祉,98.333,2.7268,4564.804,3644.365,82.919,58.833,43.966,103.75,,21.814,3.134,173.323,0,5,既存先,一般リース,2,失注,他社験合（レート）,1,ユーザー,7.9,60,2.52%
923414,2026/3/5,宇都宮営業部,一般,ショベルカー,Rサービス業（他に分類されないもの）,78.440499,10.4552,708.906,116.967,6.63,3.473,2.34,1.07,36.46,35.264,25.848,3.343,16.046,6,既存先,一般リース,1,当社受注,,1,ユーザー,28.5,60,2.62%
929522,2025/6/23,宇都宮営業部,一般,データサーバーMBF-1000,p 医療・福祉,345,20.6279,3799.87,3266.168,-306.604,-282.942,-284.636,442.196,,,28.982,56.383,,5,既存先,一般リース,2,失注,他社競合（レート）,,銀行,25,60,2.20%
932776,2026/2/24,宇都宮営業部,割賦,食器類,p 医療・福祉,324.506,0,781.812,781.812,25.392,50.203,38.595,52.663,,5.392,1.025,13.844,0,5,新規先,割賦,2,失注,物件不適,,銀行,5.125,60,
922566,2026/2/4,宇都宮営業部,一般,セキュリティー機器F G50G5Y,E 製造業,17.512,0.0708,303.646,112.991,31.539,40.771,32.406,7.204,14.141,34.815,,0.018,4.408,3,既存先,一般リース,1,当社受注,,,銀行,0.8,60,3.83%
934103,2025/12/23,宇都宮営業部,自動車,ランドクルーザー250zX,Rサービス業（他に分類されないもの）,64.02,,45.537,45.394,8.146,7.205,7.124,0.647,,0.296,,2.976,0,9,新規先,自動車リース,,当社受注,,,銀行,7.156818,60,4.23%
914670,2026/1/21,宇都宮営業部,一般,スライサー,1卸売業・小売業,201.994,15.13958,7285.143,1242.363,27.998,44.928,44.731,50.017,,26.706,36.206,106.813,,要注意先,既存先,一般リース,1,当社受注,,2,銀行,1.91,60,2.60%
921315,2026/2/24,宇都宮営業部,自動車,いすが中古トラック（令和2年式）③,H 運輪業・郵便業,78.75,2.8077,6099.201,501.542,206.917,229.417,106.062,,114.997,111.843,,0.82,635.379,無格付,既存先,自動車リース,1,当社受注,,1,ユーザー,6.2,60,2.66%
926075,2026/3/24,宇都宮営業部,一般,OKI A4カラーレーザープリンター,Rサービス業（他に分額されないもの）,30.681846,0.1408,741.593,446.936,50.631,48.127,32.931,58.368,18.234,56.557,0,6.657,38.576,5,既存先,一般リース,1,当社受注,,,銀行,0.1543,60,5.10%
930728,2026/2/18,宇都宮営業部,自動車,ELFワイド,Rサービス業（他に分類されないもの）,10,0,481.966,157.518,17.595,15.874,12.621,2.484,0,1.587,0,15.326,,無格付,新規先,自動車リース,1,当社受注,,2,銀行,7.863482,60,2.80%
921315,2026/1/28,宇都宮営業部,自動車,いす”中古トラック（令和2年式）③,H 運輸業・郵便業,78.75,2.8077,6099.201,501.542,206.917,229.417,106.062,,114.997,111.843,0,0.82,635.379,無格付,既存先,自動車リース,1,当社受注,,2,銀行,9.7,60,2.41%
934518,2026/3/4,宇都宮営業部,割賦,トヨタバッテリーフォークリフト,H 運輸業・郵便業,591.137,,1375.997,631.998,165.337,111.231,70.167,169.55,18.883,138.02,0,0.388,7.944,無格付,新規先,割賦,1,当社受注,,2,銀行,5.34,36,3.03%
922031,2026/2/6,宇都宮営業部,一般,油圧ショベル,D 建設業,53.58,102.23005,578.373,118.012,-29.034,-25.469,47.117,43.33,118.168,179.929,261.547,2.492,36.055,9,既存先,一般リース,1,当社受注,,2,銀行,17.9,60,2.86%
913584,2025/9/5,宇都宮営業部,一般,ファイバーレーザー切断加工機,E 製造業,603.062,0,3534.829,264.918,101.617,125.889,101.67,28.42,18.852,70.945,0.09,23.5,22.39,無格付,新規先,一般リース,2,失注,無方法変更（資・自己資主）,2,銀行,136.8,84,1.98%
928504,2026/2/16,宇都宮営業部,一般,キセノン光線治療器,p 医療・福祉,98.333,2.7268,4564.804,3644.365,82.919,58.833,43.966,103.75,,21.814,3.134,173.323,0,5,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,15,60,2.50%
910874,2026/2/17,宇都宮営業部,一般,全自動画像寸法測定器,E 製造業,4.322,16.9568,215.717,37.712,-0.573,4.276,1.316,0.935,4.928,3.895,,0.02,7.957,無格付,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,6.8093,72,2.79%
928504,2026/3/23,宇都宮営業部,一般,キセノン光線治療器,p 医療・福祉,98.333,2.7268,4564.804,3644.365,82.919,58.833,43.966,103.75,,21.814,3.134,173.323,0,5,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,0.6,60,3.02%
912703,2026/2/26,宇都宮営業部,自動車,メルセデスベンツーAMG G 6 3,D建設業,94.436,2.783,1320.816,281.119,90.071,93.385,69.827,34.897,22.956,66.319,12.715,1.447,5.256,5,既存先,自動車リース,,失注,実車方法変更（後・自己資金）,2,銀行,28779.275,48,3.50%
