ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
918942,2025/5/14,宇都宮営業部,割賦,HANTA 2018製,D 建設業,112482,3899.7,735863,85863,3147,1537,940,962,31673,84554,24492,5070,18777,,既存先,割賦,2,失注,放場検資見合せ（通・滋意）,2,銀行,11000,60,2.51%
932890,2025/5/13,宇都宮営業部,一般,液体急速凍結機,M 宿泊業・飲食サービス業,143901,0,648883,430186,13526,24667,24432,20290,,,703,36676,,,既存先,一般リース,2,失注,,2,銀行,4330,60,2.52%
916873,2025/7/7,宇都宮営業部,一般,モニター,D 建設業,213049,6942,795107,85862,9227,5999,357,939,40952,185341,7300,2949,45158,8.2,既存先,一般リース,2,失注,原理方法文堂（・自己資金）,2,銀行,1078,60,4.51%
933073,2025/6/10,宇都宮営業部,自動車,新型ヤリス（HEV） X,Rサービス業（他に分類されないもの）,250328,0,112856,39287,1870,1084,1002,3912,U,5064,D,931,,9,新規先,自動車リース,2,失注,設備後資見合せ（禁品・延期）,2,銀行,2200,60,
911208,2025/6/2,宇都宮営業部,一般,サーバー一式,1卸売業・小売業,214176,4641.4,2171502,333046,10109,23484,23052,2966,,12999,,28512,,8_2,既存先,一般リース,2,失注,設■液費見合せ（道・地球）,2,銀行,5725.045,60,5.03%
977094,2025/4/1,宇都宮営業部,一般,Wi-Fi設備関連,Rサービス業（他に分類されないもの）,596429,27176,12154332,9179403,956444,1618673,857119,1071090,,242021,-10225929,397482,0,8_1,既存先,一般リース,2,失注,禁通方法変更（超実・自己資金）,2,銀行,1160,72,5.44%
922717,2025/4/16,,自動車,スカニアR500 フルトラクタ,H 運輸業・郵便業,66615,16460.5,176786,176786,1213,1811,1798,25014,0,46669,22735,0,0,5,既存先,自動車リース,2,失注,禁道方変更（超実・自己金）,2,銀行,49586.72,72,2.61%
922717,2025/4/16,宇都宮営業部,自動車,スカニアR 500 フルトラクタ,H 運輪業・郵便業,66615,16460.5,176786,176786,1213,1811,1798,25014,,46669,22735,,0,5,既存先,一般リース,2,失注,禁道方法変更（脳次・自己金）,2,銀行,13473.385,72,2.83%
918612,2025/5/14,宇都宮営業部,一般,フォークリフト,E 製造業,102128,15619.1,390684,35840,-3925,288,147,,0,11246,1768,4880,7608,8_2,既存先,一般リース,1,当社受注,,2,銀行,2900,60,4.02%
909692,2025/6/16,宇都宮営業部,一般,富士通デスクトップパソコン,Rサービス業（他に分類されないもの）,145257,17863.1,251628,217694,5899,2903,1326,14360,0,1231,21534,242,2949,5,既存先,一般リース,1,当社受注,,2,銀行,920,60,2.67%
