ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
932151,2025/10/8,宇都宮営業部,自動車,トラック（令和6年式）,H 運輸業・郵便業,16.66,11.622,534.946,534.946,3.133,1.87,1.327,5.332,,3.389,0,62.065,,無格付,既存先,自動車リース,2,失注,舞方法更（部類・魚己資本）,2,銀行,18.120311,60,2.80%
912898,2025/5/7,宇都宮営業部,自動車,いすがGIGAウイング,Rサービス業（他に分類されないもの）,48.058,0.08,343.883,26.576,-4.985,-7.753,-7.834,1.318,0,2.056,0,3.063,0,要注意先,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,16.936164,60,2.51%
922378,2025/6/24,宇都宮営業部,一般,Windows Server 2022,1卸売業・小売業,43.487,4.781,992.048,74.596,0.152,12.415,11.412,3.085,,0.571,0.23,7.453,,2,既存先,一般リース,2,失注,他社合（レート）,2,銀行,3.7,60,2.03%
909041,2024/12/2,宇都宮営業部,自動車,いす”エルフ,H 運輸業・郵便業,345.748,20.9017,1899.881,92.267,-36.084,-0.692,15.913,0.93,278.129,266.925,,12.785,0.208,無格付,既存先,自動車リース,,失注,,2,銀行,28,60,
918615,2025/9/3,宇都宮営業部,割賦,ホイールローダー,D 建設業,13.654,9.1462,359.794,41.738,2.854,1.405,0.441,0,1.659,22.444,0,4.773,7.206,無格付,既存先,割賦,2,失注,他社競合（レート）,2,銀行,2.9,24,3.05%
909041,2024/12/2,宇都宮営業部,自動車,いす”エルフ,H 運物業・郵便業,345.748,20.9017,1899.881,92.267,-36.084,-0.692,15.913,0.93,278.129,266.925,,12.785,0.208,2,既存先,自動車リース,2,失注,調理方法食業（貴・自己貴金）,2,銀行,28,60,
909137,2025/8/18,宇都宮営業部,一般,カービュウティシャン自動式洗車機,1卸売業・小売業,155,,44096.833,6489.879,291.131,653.436,479.304,673.235,,385.406,332.673,179.624,,4,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,7.76,72,2.32%
912898,2025/10/8,宇都宮営業部,自動車,いすダGIGAウイング,Rサービス（他に分類されないもの）,48.058,0.08,343.883,26.576,-4.985,-7.753,-7.834,1.318,0,2.056,0,3.063,,要注意先,既存先,自動車リース,,失注,他社競合（レート）,2,銀行,16.936164,60,2.51%
910080,2025/7/14,宇都宮営業部,一般,複合機（高崎支店用）,Rサービス業（他に分類されないもの）,106.936,,1766.486,1122.02,21.783,53.152,33.724,35.221,0,49.311,,30.843,,無格付,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,0.461125,60,2.35%
924691,2025/6/16,宇都宮営業部,自動車,プロボックスHV GX ①,Rサービス業（他に分類されないもの）,560.36112,16.8379,1048.476,671.888,92.491,49.907,36.823,171.448,0,747.202,23.469,20.038,76.92,4,既存先,自動車リース,2,失注,他社競合（レート）,,銀行,1.698522,60,2.52%
917819,2025/6/30,宇都宮営業部,一般,空訓設備一式,M 宿泊業・飲食サービス業,1056.626,0,3526.683,2290.662,154.613,106.085,54.967,411.622,0,75.259,,59.05,,5,既存先,一般リース,2,失注,,2,銀行,20,96,3.00%
933513,2025/9/4,宇都宮営業部,一般,洗濯乾燥機,E 製造業,78.64,0,1147.753,328.139,100.428,131.766,20.856,18.675,37.631,73.171,2.229,5.415,,3,新規先,一般リース,2,失注,他社合（レート）,2,銀行,40,84,2.25%
912898,2025/10/8,宇都宮営業部,自動車,いすがGIGAウイング,Rサービス業（他に分額されないもの）,48.058,0.08,343.883,26.576,-4.985,-7.753,-7.834,1.318,,2.056,,3.063,,要注意先,既存先,自動車リース,2,失注,他社合（レート）,2,銀行,9,60,2.51%
909151,2025/10/9,宇都宮営業部,一般,（株）ミツトヨ輪郭形状・表面粗さ測定器,1卸売業・小売業,29.596,0,789.924,141.857,7.094,11.801,9.59,2.249,,0.725,,11.203,,無格付,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,7.72,60,2.13%
912306,2025/10/31,宇都宮営業部,自動車,ニッサン クリッパートラック 低温冷凍車 DX,E製造業,385.013,47.2914,974.564,386.871,0.676,3.126,4.813,31.696,,20.476,,26.926,0,要注意先,既存先,自動車リース,1,当社受注,,2,銀行,3.011164,60,
909151,2025/10/9,宇都宮営業部,割賦,（株）ミツトヨ輪郭形状・表面粗さ測定器,1卸売業・小売業,29.596,0,789.924,141.857,7.094,11.801,9.59,2.249,0,0.725,,11.203,0,無格付,既存先,割賦,2,失注,他社総合（レート）,2,銀行,9.2,60,2.12%
909041,2024/12/2,宇都宮営業部,自動車,いす”エルフ,H 運輸業・郵便業,345.748,20.9017,1899.881,92.267,-36.084,-0.692,15.913,0.93,278.129,266.925,0,12.785,0.208,2,既存先,自動車リース,2,失注,,,銀行,28,60,
922378,2025/6/24,宇都宮営業部,一般,Windows Server 2022,1卸売業・小売業,43.487,4.781,992.048,74.596,0.152,12.415,11.412,3.085,,0.571,0.23,7.453,0,無格付,既存先,一般リース,,失注,他社競合（レート）,2,銀行,1.2,60,2.09%
906290,2025/8/29,宇都宮営業部,一般,水質浄化装置,Rサービス業（他に分類されないもの）,28.5,13.68078,3537.886,2545.288,524.344,469.336,314.75,93.827,,0.297,5.933,433.53,,無格付,既存先,一般リース,2,失注,他社合（レート）,2,銀行,6.478,60,2.01%
912898,2025/10/8,宇都宮営業部,自動車,いす”GIGAウイング,Rサービス業（他に分類されないもの）,48.058,0.08,343.883,26.576,-4.985,-7.753,-7.834,1.318,,2.056,0,3.063,,要注意先,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,15.718164,60,2.50%
912898,2025/10/8,宇都宮営業部,自動車,いす”GIGAウイング,Rサービス業（他に分類されないもの）,48.058,0.08,343.883,26.576,-4.985,-7.753,-7.834,1.318,,2.056,,3.063,0,要注意先,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,3.9,48,2.82%
915386,2024/8/9,宇都宮営業部,割賦,ホイスト式天井クレーン,E 製造業,86.939699,43.067,6375.721,464.125,66.441,92.982,57.584,6.963,70.711,222.746,0,2.891,64.226,2,既存先,割賦,2,失注,男方法変更「質・自己資金）,2,銀行,20.3,96,2.50%
912282,2025/7/17,宇都宮営業部,自動車,三菱スーパーグレート,H 運粉業・郵便業,16.784,,134.774,134.774,-0.583,1.197,2.682,2.418,,5.411,0,14.007,,無格付,新規先,自動車リース,1,当社受注,,,銀行,16.2,60,4.01%
