ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
923743,2025/7/10,宇都宮営業部,一般,バツクホー,D 建設業,24805,8290.5,88479,45983,16128,21434,17566,928,,0,0,1935,6718,0,既存先,一般リース,1,当社受注,,1,ユーザー,5050,60,3.84%
955629,2025/9/22,宇都宮営業部,一般,Pharnes X／EXMV-SH560Eシステム③（ハード）,Rサービス業（他に分類されないもの）,15324,,322693,139134,6835,8341,6444,3473,,,0,5991,0,4,既存先,一般リース,1,当社受注,,2,銀行,346.3,60,2.71%
936264,2025/11/10,宇都宮営業部,一般,サーバー,E 製造業,0,5854,622574,264682,91718,91984,61697,5998,0,5701,,12105,0,0,既存先,一般リース,1,当社受注,,2,銀行,1494,60,2.87%
937965,2025/10/1,宇都宮営業部,一般,医事システム（ハードウエア）（遠藤産婦人科医院）,p 医療・福祉,0,0,1566670,1439314,72128,101884,53833,167112,,3558,144014,31051,0,0,既存先,一般リース,1,当社受注,,1,ユーザー,1850,60,1.23%
937965,2025/10/1,宇都宮営業部,一般,医事システム（ハードウエア）（遠藤産婦人科医院）,p 医療・福祉,0,0,1566670,1439314,72128,101884,53833,167112,0,3558,144014,31051,0,0,既存先,一般リース,1,当社受注,,1,ユーザー,4450,60,2.47%
917642,2025/10/20,宇都宮営業部,一般,防犯カメラ4台リニューアル,Rサービス家（他に分類されないもの）,500,256.8,614249,396489,33087,39262,39322,24648,16414,67151,0,14549,,,既存先,一般リース,1,当社受注,,2,銀行,670,60,3.50%
955629,2025/9/26,宇都宮営業部,一般,Pharnes X/EXMV-SH560Eシステム③（ハード）,Rサービス案（他に分類されないもの）,15324,0,322693,139134,6835,8341,6444,3473,0,,,5991,,4,既存先,一般リース,1,当社受注,,2,銀行,1133.457,60,2.57%
955629,2025/7/4,宇都宮営業部,一般,Pharnes X／EXMV-SH560Eシステム②（ソフト）,Rサービス案（他に分類されないもの）,15324,0,322693,139134,6835,8341,6444,3473,,0,,5991,0,,既存先,一般リース,1,当社受注,,,ユーザー,743.5,84,2.70%
930482,2025/6/18,,割賦,トラックスケール入替・無人計量システム,1卸売業・小売業,215935,5356.8,547668,320902,16978,11955,11428,57336,0,97626,0,3600,,8_1,既存先,割賦,,当社受注,,2,銀行,7550,60,4.01%
955629,2025/9/22,宇都宮営業部,一般,Pharnes X/EXMV-SH560Eシステム②（ソフト）,Rサービス（他に分類されないもの）,15324,0,322693,139134,6835,8341,6444,3473,0,,,5991,,,既存先,一般リース,1,当社受注,,2,銀行,446.543,60,2.50%
919953,2025/10/17,宇都宮営業部,一般,PC入替,H 運輸業・郵便業,11466,0,219525,49041,-1344,242,231,1035,16824,19326,,970,522,,既存先,一般リース,1,当社受注,,,ユーザー,1950,60,3.25%
926860,2025/9/3,宇都宮営業部,一般,フォークリフト ERSIS,D建設業,144154,0,602500,150746,17064,16263,1595,15080,545,5611,0,17367,0,9,新規先,一般リース,1,当社受注,,,銀行,3700,60,2.61%
922518,2025/10/17,宇都宮営業部,一般,PC,D建設業,22520,30.6,179509,50847,-1352,-1917,-1617,3122,,15424,0,2161,,0,既存先,一般リース,1,当社受注,,2,銀行,691,60,3.07%
936074,2025/8/7,宇都宮営業部,自動車,いす”ELF MIO,D建設業,0,3744,1358319,281267,171175,171936,89897,2584,5352,1722,0,10690,6596,2,既存先,自動車リース,1,当社受注,,2,銀行,4424.4,60,2.51%
933779,2025/10/24,宇都宮営業部,割賦,コマツ 油圧ショベル,D 建設業,84026,0,191716,55274,17552,22218,22048,3066,4147,6355,0,701,7513,,新規先,割賦,1,当社受注,,2,銀行,6750,36,3.23%
902330,2025/10/27,宇都宮営業部,自動車,いす”GIGA20（標準）①,D建設業,136662,47779.72,1302672,304060,-58085,5330,5546,28071,82018,368849,,3374,128719,5,既存先,自動車リース,1,当社受注,,2,銀行,16270.036,60,2.01%
923743,2025/7/18,宇都宮営業部,一般,ヤンマーバツクホー,D建設業,24805,8290.5,88479,45983,16128,21434,17566,928,,,,1935,6718,0,既存先,一般リース,1,当社受注,,1,ユーザー,11500,84,3.71%
955629,2025/9/22,宇都宮営業部,一般,Pharnes X/EXMV-SH560Eシステム②（ハード）,Rサービス業（他に分類されないもの）,15324,0,322693,139134,6835,8341,6444,3473,,,,5991,,,既存先,一般リース,1,当社受注,,2,銀行,446.543,60,2.50%
970263,2025/8/19,宇都宮営業部,一般,電話機一式（結城店）,1卸売業・小売業,29000,0,2012198,661007,50107,46746,19709,63021,,58350,0,15932,,0,既存先,一般リース,1,当社受注,,1,ユーザー,1350,84,3.30%
911369,2025/5/1,宇都宮営業部,自動車,ELFナロー②,D建設業,41624,10186.7,635019,159498,41205,41717,33005,4032,31381,54387,1327,577,6702,3,既存先,自動車リース,1,当社受注,,2,銀行,6100,60,3.03%
933099,2025/6/17,宇都宮営業部,割賦,防錆油布用バランサー設備,E 製造業,123654,,414988,69579,10579,10936,10936,,3842,12986,0,1581,3731,5,新規先,割賦,1,当社受注,,2,銀行,5400,84,3.53%
907200,2025/8/12,宇都宮営業部,一般,バッテリーフォークリフト②,E 製造業,273809,3087.04,3581416,311934,100243,-25951,-25862,19023,255943,367273,259779,240,5361,4,既存先,一般リース,1,当社受注,,2,銀行,1650,60,1.97%
933006,2025/5/30,宇都宮営業部,割賦,コマツ ホイールローダー WA40-8,D建設業,42856,0,160260,45882,3635,3946,3648,7197,8865,24378,,193,2817,0,既存先,割賦,1,当社受注,,2,銀行,5000,72,5.04%
922518,2025/9/5,宇都宮営業部,一般,CANON カラー複合機 C3926F,D建設業,22520,30.6,179509,50847,-1352,-1917,-1617,3122,0,15424,0,2161,,0,既存先,一般リース,1,当社受注,,2,銀行,890,60,3.30%
917505,2025/9/16,宇都宮営業部,一般,伊藤超短波超音波治寮器 UST-770,p 医療・福祉,68316,,187900,183908,2136,7295,6007,6237,,27212,,17968,,4,既存先,一般リース,1,当社受注,,2,銀行,009,60,2.50%
