ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
930433,2025/6/18,宇都宮営業部,割賦,ドローン搭載型自律制御・レーザー計測システム,D建設業,50192,2978.4,383118,70909,-17952,32612,25034,10221,0,137053,-17228,5988,11233,9,既存先,割賦,,当社受注,,2,銀行,18561.69,60,3.71%
913608,2025/8/20,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,128,60,3.42%
918942,2025/7/30,,割賦,自走式破砕機,D建設業,112482,3899.7,735863,85863,3147,1537,940,962,31673,84554,24492,5070,18777,七,既存先,割賦,1,当社受注,,,銀行,17000,60,2.60%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,257,60,2.24%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,,既存先,一般リース,1,当社受注,,1,ユーザー,398,60,2.19%
941146,2025/4/18,宇都宮営業部,自動車,クラウンエステートPHEV,Rサービス業（他に分類されないもの）,25000,,3888812,3721940,292070,289181,204758,97774,,7779,4429,117418,,,既存先,自動車リース,,当社受注,,2,銀行,7918.9,60,2.88%
905966,2025/7/1,宇都宮営業部,自動車,アルト HYBRID'S,Rサービス業（他に分類されないもの）,20002,8541.7,726982,726982,3103,56457,43163,35920,,14755,0,12667,,0,既存先,自動車リース,1,当社受注,,2,銀行,1234.609,60,4.66%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分額されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,206.5,60,2.20%
913608,2025/8/5,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分額されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,314,60,2.16%
913608,2025/8/5,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,200,60,2.14%
931647,2024/9/19,宇都宮営業部,一般,クライアントPC,E 製造業,75007,18720,1249610,431784,-23744,11021,-29075,22530,22345,16213,37,21464,22737,,新規先,一般リース,1,当社受注,,2,銀行,17300,60,2.21%
932063,2025/7/9,宇都宮営業部,一般,パソコン,D建設業,,33216,2107524,571242,204383,210097,144968,5754,19727,7847,9772,10625,58459,,新規先,一般リース,1,当社受注,,2,銀行,31760.85,48,2.10%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分額されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,61.5,60,3.51%
926597,2025/1/21,宇都宮営業部,一般,HN NCカット機,E製造業,230873,10382.7,1044847,73475,-115982,-59866,-81611,21499,,22911,12385,22063,,8_1,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,8650,84,4.01%
933338,2025/7/23,,一般,監視カメラシステム,H 運輪業・郵便業,136558,0,529376,85088,35247,28261,19940,7553,25866,16324,2807,4756,1208,5,新規先,一般リース,2,失注,他社競合（その他）,,銀行,650,60,2.72%
933309,2025/7/17,宇都宮営業部,一般,防犯カメラ,1卸売業・小売業,20334,0,523361,389006,-73036,-81843,468250,26047,,17355,453,25112,U,,新規先,一般リース,,失注,他社合（その他）,2,銀行,3850,84,3.64%
930991,2025/6/27,宇都宮営業部,自動車,ハイゼットカーゴ,D建設業,426074,1548,2652488,400202,36189,33227,23561,6453,,5813,,19792,91,8_2,新規先,自動車リース,1,当社受注,,2,銀行,1414.19,72,3.53%
932736,2025/3/28,宇都宮営業部,自動車,レクサスLBXhe v,1卸売業・小売業,41778,5064,560259,453136,7568,6844,6844,9393,U,3051,13810,11557,,,新規先,自動車リース,1,当社受注,,2,銀行,5550,60,3.81%
906855,2025/5/19,宇都宮営業部,一般,ミニ油圧ショベル,D建設業,31923,0,446409,109654,43275,45877,32530,1627,3965,9973,,1332,23130,3,既存先,一般リース,2,失注,,2,銀行,6600,60,2.61%
933067,2025/6/10,宇都宮営業部,自動車,クラウンスポーツHEV,E 製造業,46980,D,624788,62025,-4951,8615,8538,3753,2053,8718,,5000,240,5,新規先,自動車リース,2,失注,,2,銀行,5597.691,60,2.51%
975692,2025/6/16,宇都宮営業部,一般,SUBGATE 24ポート,E 製造業,36628,0,2588576,369376,-39925,-39248,-33627,14851,47766,122870,114841,16816,38729,8_1,既存先,一般リース,2,失注,,2,銀行,942,60,3.22%
911858,2025/7/8,宇都宮営業部,割賦,立型マシニングセンター,E 製造業,198345,16140,220765,57857,1028,-571,111,1465,13167,46372,198,3000,4436,9,新規先,割賦,1,当社受注,,2,銀行,14800,60,3.22%
941421,2025/7/23,宇都宮営業部,自動車,SAMBAR VAN トランスポーター,Rサービス業（他に分額されないもの）,500000,224428.3,16403726,3103255,759217,768445,508237,183100,0,254309,2912,133049,,2,既存先,自動車リース,2,失注,他社競合（レート）,1,ユーザー,1140.64,72,2.65%
925717,2025/6/30,宇都宮営業部,自動車,キャラバン,E 製造業,74081,4623.25,90125,37985,-7793,51,140,3893,4363,3793,0,4364,180,9,既存先,自動車リース,1,当社受注,,2,銀行,"3184,295",60,3.54%
913279,2024/7/31,宇都宮営業部,自動車,ニッサン • アトラス,1卸売業・小売業,43690,9612,911298,162339,-7765,733,733,2119,,342,570,61864,,9,新規先,自動車リース,1,当社受注,,2,銀行,7693.7,72,3.20%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,905,60,2.17%
929371,2025/7/8,宇都宮営業部,一般,PC,Rサービス業（他に分類されないもの）,130346,4426.52,4942769,4826312,573955,596559,416974,30058,0,78,1689,20855,,4,既存先,一般リース,1,当社受注,,2,銀行,236,48,3.57%
