ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
913608,2025/12/11,,一般,防犯カメラシステム,Rサービス業（他に分されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.5,60,2.17%
913608,2025/12/11,,一般,防犯カメラシステム,Rサービス業（他に分額されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.397,60,2.21%
913608,2025/12/17,,一般,防犯カメラシステム,Rサービス（他に分額されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.19,60,3.36%
913608,2025/12/17,,一般,防犯カメラシステム,Rサービス（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.455,60,2.21%
911055,2026/1/14,,一般,Canon カラー複合機,E 製造業,16.66,0.9096,513.103,186.505,39.763,43.274,25.987,4.396,6.794,21.068,0,5.738,,無格付,既存先,一般リース,1,当社受注,,2,銀行,1.9,60,3.10%
962914,2026/1/20,,一般,カラープリンター（C840後維機種）,D建設業,4686,55.15124,24447.352,3733.568,363.085,1335.672,1172.801,92.075,107.906,9.518,-2770.81,56.468,45.238,無格付,既存先,一般リース,1,当社受注,,,ユーザー,0.25168,60,4.26%
913608,2025/12/17,,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.426,60,2.19%
913608,2025/12/17,,一般,防犯カメラシステム,Rサービス業（他に分されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.56,60,2.18%
913608,2025/12/17,,一般,防犯カメラシステム,Rサービス（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.374,60,2.21%
934138,2025/12/22,,一般,防犯カメラシステム,D建設業,5.992,,201.312,24.488,-14.04,-3.915,-3.716,,0,6.999,3.791,5.864,30.174,無格付,新規先,一般リース,1,当社受注,,2,銀行,1.923,84,3.00%
920614,2026/1/20,,一般,カラープリンター（C840後維機種）,D建設業,356,2.2182,3472.883,355.052,124.732,107.58,73.77,2.887,15.953,,-71.795,2.868,4.549,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,0.50336,60,3.81%
913608,2025/12/17,,一般,防犯カメラシステム,Rサービス業（他に分額されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.21875,60,2.19%
901191,2025/11/21,,一般,AED一式,D建設業,124.237,6.6618,2548.869,1039.954,163.838,163.795,97.702,36.383,0,,17.974,55.053,,無格付,既存先,一般リース,,当社受注,,2,銀行,0.3953,60,2.55%
913608,2025/12/17,,一般,防犯カメラシステム,Rサービス策（他に分開されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.22875,60,2.18%
913608,2025/10/20,,一般,蓍へ用端末機器,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,21.327,60,2.25%
