取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
909543,2025-10-21,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.16554,0,プリンター,0,0,0,0,一般,2566.008,2125.866,43.284,-12.308,-12.854,0,0,20.14,7.997,161.214,0,216.071,0,18.75,57.67931,0,9,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,4.88,0,他社競合（レート）,0,0,他社競合（レート）
910805,2025-05-08,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.1816,0,回転式たててすり,0,0,0,0,一般,549.971,549.971,1.399,-9.804,-9.804,0,0,0,13.403,64.125,0,4.462,0,714.028,2.091,0,9,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,5.00,0,他社合（レート）,0,0,他社合（レート）
922810,2024-09-25,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2024,60,19.12169,0,日野プロフィア,0,0,0,0,自動車,1719.388,97.35,25.484,42.362,34.402,0,0,136.383,112.51,2.723,174.38,10.12,58.035,195.816,0,0,5,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,1.46,0,設響投資用合せ（毒・採用）,0,0,設響投資用合せ（毒・採用）
924752,2025-10-21,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,36,8.99,0,コマツ油圧ショベル・付属部品,0,0,0,0,割賦,200.75,31.396,-3.866,15.912,11.054,0,0,11.407,0,3.178,6.844,2.308,12.277,0.722,6.5815,0,無格付,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0
932625,2025-05-21,0,Rサービス業（他に分類されないもの）,0,新規先,宇都宮営業部,銀行紹介,2025,60,16.75,0,GIGA22,0,0,0,0,自動車,822.04,321.655,17.504,11.33,10.146,0,0,25.576,0,32.394,0,77.919,0,8.497,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.51,0,0,0,0,0
920378,2025-10-29,0,D 建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,14.6,0,コマツホイルローダー,0,0,0,0,一般,675.914,212.716,34.032,48.446,21.671,0,0,250.05,491.668,38.622,173.793,3.048,22.022,594.618,12.0321,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.31,0,0,0,0,0
933863,2025-11-06,0,D建設業,0,新規先,宇都宮営業部,銀行紹介,2025,60,4.35,0,油圧ミニショベル,0,0,0,0,一般,85.819,22.549,2.529,2.983,0.773,0,0,0.543,0,0.257,0.392,1.967,0,0.454,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.05,0,0,0,0,0
921608,2025-12-11,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,14.9,0,三菱 スーパーグレード,0,0,0,0,自動車,1551.253,183.686,114.407,115.938,70.723,0,0,34.299,0,1.691,18.227,0.062,158.755,44.989,15.6144,0,4,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.11,0,他社競合（レート）,0,0,他社競合（レート）
921202,2025-12-15,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.3916,0,再加熱キャビネット,0,0,0,0,一般,819.092,726.94,6.72,25.137,18.295,0,0,16.465,0,39.722,0,69.036,0,80.688,0,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.71,0,0,0,0,0
916899,2025-12-10,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.57,0,ATLUS NEXT 基本システム（STD版）,0,0,0,0,一般,282.519,205.654,-50.207,-70.708,-1170.815,0,0,2.564,0,34.307,0.903,29.073,1,127.671308,0.8352,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.63,0,0,0,0,0
950039,2025-05-26,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,7.054028,0,アルファードZ,0,0,0,0,自動車,766.777,159.925,34.429,62.421,63.987,0,0,16.534,0,16.909,14.36,7.281,2.822,121.916,0.7749,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.84,0,0,0,0,0
913839,2025-11-19,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.209,0,タワー型サーバー,0,0,0,0,一般,268.361,232.698,36.985,37.754,28.305,0,0,13.24,0,4.739,0,18.937,0,8.162,0.5566,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.16,0,0,0,0,0
909734,2025-08-28,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,4.542618,0,キャラバン標準ルーフ,0,0,0,0,自動車,961.123,508.254,86.045,92.727,77.929,0,0,77.667,1.015,40.014,0,44.928,0,288.869538,16.4603,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.02,0,0,0,0,0
950239,2025-10-31,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,84,2,0,高速自動値付ラベラー,0,0,0,0,一般,3016.912,598.03,23.197,9.012,28.171,0,0,54.694,1.192,21.043,15.572,67.271,12.103,295.241,16.5503,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.85,0,0,0,0,0
929412,2025-09-25,0,M 宿泊業・飲食サービス業,0,既存先,宇都宮営業部,銀行紹介,2025,84,9.48226,0,キューブサウナー式,0,0,0,0,割賦,277.061,201.673,-26.688,31.128,-27.423,0,0,44.524,-183.606,41.042,0,23.011,0,39.82,3.184,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.70,0,0,0,0,0
928282,2025-07-11,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,60,2315.205,0,新型カローラツーリングX,0,0,0,0,自動車,968.943,146.074,29.97,30.977,8.576,0,0,0,9.012,7.411,0,0.922,0,38.787,1.353,0,3,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.58,0,0,0,0,0
913839,2025-11-19,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.98,0,タワー型サーバー,0,0,0,0,一般,268.361,232.698,36.985,37.754,28.305,0,0,13.24,0,4.739,0,18.937,0,8.162,0.5566,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.18,0,0,0,0,0
910711,2025-12-01,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,2.193727,0,ライズ＜ HEV＞Z②,0,0,0,0,自動車,851.285,185.856,9.782,6.671,6.671,0,0,29.952,0,10.653,0,26.287,0,62.994,0.9065,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,5.07,0,0,0,0,0
919315,2025-06-20,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2025,84,15.26,0,Wet アルミ切粉圧縮固形化装置,0,0,0,0,一般,10802.717,549.671,-64.272,264.318,224.767,0,0,940.306,28.99,10.7,440.555,27.609,290.11,1031.5,31.9226,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.33,0,0,0,0,0
926538,2025-12-09,0,1卸売業・小売業,0,新規先,宇都宮営業部,銀行紹介,2025,36,7.491519,0,ボルボ XC90（令和4年式）,0,0,0,0,自動車,28.459,6.846,0.57,0.511,0.336,0,0,0,0,0.199,0,1.358,0,0.84,0,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.52,0,0,0,0,0
910711,2025-12-01,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,2.173727,0,ライズ＜HEV＞ Z②,0,0,0,0,自動車,851.285,185.856,9.782,6.671,6.671,0,0,29.952,0,10.653,0,26.287,0,62.994,0.9065,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,5.06,0,0,0,0,0
933734,2025-10-23,0,D建設業,0,新規先,宇都宮営業部,銀行紹介,2025,60,1.922259,0,ハイエースV R 02年 ： ハイエースパン DX,0,0,0,0,自動車,269.987,82.161,9.977,12.433,3.54,0,0,0.706,0,2.768,0,3.26,0,32.497,0,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.63,0,0,0,0,0
923273,2025-10-06,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,5.35,0,ミニショベル,0,0,0,0,一般,304.978,87.81,5.771,6.232,5.882,0,0,15.32,0,0,8.229,10.363,0.129,17.161,3.2514,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.82,0,0,0,0,0
907431,2025-12-10,0,Rサービス業（他に分類されないもの）,0,新規先,宇都宮営業部,銀行紹介,2025,60,4.2,0,RICOH Pro C 5400S,0,0,0,0,一般,123.666,1.989,-26.711,-30.901,-31.037,0,0,30.874,0,8.09,0,0.17,0,32.662733,0,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.84,0,0,0,0,0
950239,2025-12-10,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.0874,0,高速自動値付ラベラー,0,0,0,0,一般,3016.912,598.03,23.197,9.012,28.171,0,0,54.694,1.192,21.043,15.572,67.271,12.103,295.241,16.5503,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.14,0,0,0,0,0
