ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
953038,2025/5/16,宇都宮営業部,自動車,アルト （H28年式）,p 医療・福祉,0,0,654.408,560.549,-98.231,-80.916,-81.15,22.494,0,12.088,0.125,19.953,0,無格付,既存先,一般リース,2,失注,,1,ユーザー,0.2766,48,4.51%
930778,2025/6/3,宇都宮営業部,自動車,中古フォワード 8トン冷蔵車,H 運輸業・郵便業,46.19,,82.861,16.682,2.911,1.718,1.268,,19.313,46.006,0,2.265,10.771,無格付,新規先,自動車リース,2,失注,黒達方法変更（賃・己責書）,2,銀行,4.907273,36,3.01%
930597,2025/5/9,宇都宮営業部,自動車,クボタ コンバイン,Rサービス案（他に分類されないもの）,37.219,4.6892,20.25,6.453,-6.833,-7.056,-7.266,3.161,3.84,20.55,7.415,0.137,,6,既存先,自動車リース,,失注,,2,銀行,11.818182,108,5.00%
907223,2025/6/18,宇都宮営業部,一般,本社事務所電話機入替,E 製造業,14.264,,400.93,91.184,-20.892,-15.038,-16.052,3.57,10.984,31.69,3.081,0.635,5.518,要注意先,既存先,一般リース,1,当社受注,,1,ユーザー,2.7,72,3.78%
906581,2025/4/24,,一般,サーバー TX1330,E 製造業,1805.61,21.82316,27992.564,3678.318,-438.934,-410.638,-495.109,106.193,476.436,313.704,670.643,,116.475,6,既存先,一般リース,1,当社受注,,,銀行,7.978,60,1.29%
905937,2025/5/30,宇都宮営業部,一般,セキュリティーシステム,E 製造業,50,1.8525,1109.079,335.188,166.357,163.447,143.06,7.667,17.981,23.337,0,9.723,,無格付,既存先,一般リース,1,当社受注,,,銀行,1.815,60,2.63%
931040,2025/3/17,宇都宮営業部,自動車,ランドクルーザー250 VX,1卸売業・小売業,372.09,30.103,572.078,447.672,6.186,20.814,27.331,61.74,0,209.581,,3.992,0,無格付,既存先,自動車リース,1,当社受注,,2,銀行,6.309655,60,2.01%
924647,2025/4/3,宇都宮営業部,自動車,スーパーグレート 脱着装置付コンテナ専用車,Rサービス案（他に分類されないもの）,79.574,26.391,424.688,424.688,11.854,14.517,13.965,50.784,,57.368,69.466,7.932,,4,新規先,自動車リース,1,当社受注,,2,銀行,27.3,60,2.04%
921100,2025/2/28,宇都宮営業部,一般,フォークリフト（北利根倉庫No.22）,Rサービス業（他に分類されないもの）,20,2.7484,1320.806,226.953,36.626,53.4,87.754,21.368,54.916,8.851,94.985,5.862,114.791,4,既存先,一般リース,1,当社受注,,1,ユーザー,2.6,60,2.68%
926998,2025/5/26,宇都宮営業部,自動車,トヨタシエンタ（R2年式 福祉車両）,p医療・福祉,94.432,8.6184,177.26,177.26,6.492,0.771,0.771,22.627,,,0,,,9,既存先,一般リース,1,当社受注,,1,ユーザー,2.131748,48,3.52%
910623,2025/4/14,宇都宮営業部,自動車,日野プロフィア バン冷凍直結式,H 運輸業・郵便業,2883.395,266.9395,6075.224,744.341,156.83,168.444,182.303,21.199,149.269,67.594,0,4.084,765.095,5,既存先,自動車リース,1,当社受注,,2,銀行,23.85,60,1.91%
905938,2025/5/30,宇都宮営業部,一般,セキュリティーシステム,1卸売業・小売業,10,2.4909,1176.33,195.283,82.03,80.584,55.359,6.487,,9.512,0,7.687,,5,新規先,一般リース,,当社受注,,2,銀行,2.441,60,2.56%
909276,2025/5/28,宇都宮営業部,一般,電話設備 $3,Rサービス業（他に分されないもの）,44.632,3.6969,114.333,114.333,-51.947,-52.606,-52.642,2.673,,3.564,0.11,16.695,,9,既存先,一般リース,1,当社受注,,2,銀行,1.08,84,3.55%
910071,2024/5/17,宇都宮営業部,一般,AP無煙焼却炉,E 製造業,0.05,19.4225,1380.514,161.185,26.119,32.121,20.499,0.063,5.007,6.802,0,3.413,11.56,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,15.45,60,3.21%
908945,2024/11/12,宇都宮営業部,自動車,GIGA25,H 運輸業・郵便業,30,34.8987,1081.692,166.918,31.224,21.906,19.774,30.789,47.728,0.266,208.647,1.082,13.079,要注意先,既存先,自動車リース,1,当社受注,,2,銀行,18.29,84,3.21%
920425,2025/4/23,宇都宮営業部,一般,生コンクリート品質管理システム ソフトウェア,E 製造業,10,6.0832,2582.972,914.609,138.238,143.204,99.736,35.156,,734.152,-838.155,235.796,,2,既存先,一般リース,1,当社受注,,2,銀行,4.4,60,2.53%
921100,2025/5/14,宇都宮営業部,自動車,いす”フォワードR3年車,Rサービス案（他に分類されないもの）,20,2.7484,1320.806,226.953,36.626,53.4,87.754,21.368,54.916,8.851,94.985,5.862,114.791,無格付,既存先,自動車リース,1,当社受注,,1,ユーザー,7.111,60,2.10%
961744,2024/9/20,宇都宮営業部,一般,SC-100T,Rサービス業（他に分類されないもの）,43.322,5.61,714.713,220.966,20.061,21.812,21.427,5.341,59.075,182.602,6.646,10.696,42.83,9,既存先,一般リース,1,当社受注,,2,銀行,48.181818,72,1.71%
932330,2025/1/20,宇都宮営業部,自動車,ハイエースWG GL 10ニン 4ドア,Rサービス業（他に分類されないもの）,12,3.5568,97.543,84.494,-2.808,4.568,3.664,4.007,,3.142,,2.987,,無格付,新規先,自動車リース,1,当社受注,,,銀行,3.219409,60,3.84%
901441,2025/6/10,宇都宮営業部,一般,ヤマハ G31-APs 5人乗りゴルフカー 5台,1卸売業・小売業,119.966,75.18237,604.998,543.199,-22.596,47.601,33.849,14.394,,1.298,0.778,15.084,,要注意先,既存先,一般リース,1,当社受注,,2,銀行,5.825,84,3.50%
930499,2025/1/20,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,14.475,6.8965,1350.897,1350.897,155.788,186.459,420.375,70.99,0,0.31,4.283,0,0,無格付,既存先,一般リース,1,当社受注,,2,銀行,2.8,60,2.82%
924867,2025/5/30,宇都宮営業部,一般,防犯カメラ,E 製造業,29.5,2.4702,436.848,90.544,26.346,27.169,18.317,4.789,15.862,3.043,0,2.287,12.455,無格付,新規先,一般リース,1,当社受注,,2,銀行,2.3,72,2.56%
909276,2025/5/28,宇都宮営業部,一般,パソコン Mat e タイプML,Rサービス業（他に分類されないもの）,44.632,3.6969,114.333,114.333,-51.947,-52.606,-52.642,2.673,,3.564,0.11,16.695,,無格付,新規先,一般リース,1,当社受注,,2,銀行,2.3412,60,3.29%
