取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
913608,2025-12-17,0,Rサービス策（他に分開されないもの）,0,既存先,0,その他,2025,60,0.22875,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.18,0,0,0,0,0
913608,2025-10-20,0,Rサービス業（他に分類されないもの）,0,既存先,0,その他,2025,60,21.327,0,蓍へ用端末機器,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.25,0,0,0,0,0
913608,2025-12-17,0,Rサービス（他に分類されないもの）,0,既存先,0,その他,2025,60,0.104,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.42,0,0,0,0,0
913608,2025-11-21,0,Rサービス（他に分類されないもの）,0,既存先,0,その他,2025,60,0.392,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.29,0,0,0,0,0
913608,2025-11-21,0,Rサービス業（他に分類されないもの）,0,既存先,0,その他,2025,60,0.468,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.26,0,0,0,0,0
913608,2025-11-21,0,Rサービス（他に分類されないもの）,0,既存先,0,その他,2025,60,0.28,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.26,0,0,0,0,0
925310,2025-12-04,0,Rサービス業（他に分類されないもの）,0,既存先,0,銀行紹介,2025,60,2.1,0,トプコン GT-705,0,0,0,0,一般,264.607,145.249,55.011,35.985,30.266,0,0,4.308,0,6.962,1.323,3.087,2.71,3.328,8.4999,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.56,0,0,0,0,0
910279,2025-12-09,0,D建設業,0,既存先,0,その他,2025,60,0.3315,0,複合機,0,0,0,0,一般,1876.494,743.086,18.018,19.197,8.822,0,0,0,-19.062,3.408,0,45.039,0,6,3.04934,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.43,0,0,0,0,0
962914,2025-12-09,0,D建設業,0,既存先,0,その他,2025,60,1.326,0,複合機,0,0,0,0,一般,24447.352,3733.568,363.085,1335.672,1172.801,0,0,9.518,-2770.81,92.075,107.906,56.468,45.238,4686,55.15124,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.43,0,0,0,0,0
913608,2025-11-21,0,Rサービス業（他に分類されないもの）,0,既存先,0,その他,2025,60,0.156,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.36,0,0,0,0,0
