取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
913608,2025-05-30,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.079,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.79,0,0,0,0,0
914156,2025-04-04,0,E 製造業,0,既存先,0,銀行紹介,2025,60,2.666,0,トヨタエンジンフォークリフト,0,0,0,0,割賦,361.367,38.827,-42.872,-40.836,-45.492,0,0,109.332,0,1.457,20.641,0.151,1.088,207.756,3.1212,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.55,0,0,0,0,0
916478,2024-10-31,0,D建設業,0,既存先,宇都宮営業部,その他,2024,60,2.312736,0,カローラフィールダー EX,0,0,0,0,自動車,291.275,38.129,0.694,2.007,1.598,0,0,2.021,0,2.764,1.261,6.417,18.949,16.274,4.9096,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.15,0,0,0,0,0
913608,2025-05-30,0,Rサービス（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.737,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.61,0,0,0,0,0
914098,2025-05-23,0,M 宿泊業・飲食サービス業,0,既存先,宇都宮営業部,銀行紹介,2025,60,3.5,0,POS,0,0,0,0,一般,274.948,150.263,12.665,11.444,10.139,0,0,14.964,1.909,11.233,0,3.391,0.144,53.6,4.3488,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.61,0,0,0,0,0
913608,2025-05-30,0,Rサービス（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.763,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.55,0,0,0,0,0
932127,2025-06-10,0,E製造業,0,新規先,0,銀行紹介,2025,24,131.7161,0,リースバック,0,0,0,0,一般,34789,7333,-1188,540,-547,0,0,2319,45,179,0,0,0,2291.666,114.7923,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,-1.95,0,0,0,0,0
913608,2025-05-30,0,Rサービス（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.385,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.54,0,0,0,0,0
913608,2025-05-30,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.413,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,1.51,0,0,0,0,0
912304,2025-06-02,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.268,0,ほのぼのシリーズ,0,0,0,0,一般,1982.088,1981.231,63.414,63.355,44.306,0,0,77.049,-110.579,45.164,0,318.21,0,205.328,3.9867,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.95,0,0,0,0,0
914429,2025-05-22,0,Rサービス（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.88,0,リコー 複合機,0,0,0,0,一般,13.902,13.683,-5.34,-5.226,-5.307,0,0,0,0,0.542,0,0.6,0,18.592,0.9519,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.01,0,0,0,0,0
975692,2025-06-16,0,E 製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.9486,0,Cloud Edge,0,0,0,0,一般,2588.576,369.376,-39.925,-39.248,-33.627,0,0,122.87,114.841,14.851,47.766,16.816,38.729,36.628,0,0,要注意先,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.16,0,0,0,0,0
962914,2025-06-23,0,D 建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.3315,0,複合機,0,0,0,0,一般,24447.352,3733.568,363.085,1335.672,1172.801,0,0,9.518,-2770.81,92.075,107.906,56.468,45.238,4686,55.15124,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.40,0,0,0,0,0
929371,2025-04-04,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,48,0.4466,0,パソコン一式,0,0,0,0,一般,4942.769,4826.312,573.955,596.559,416.974,0,0,0.078,1.689,30.058,0,20.855,0,130.346,4.42652,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.12,0,0,0,0,0
930512,2025-06-16,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.383,0,マウスコンピューター,0,0,0,0,一般,238.216,5.625,-43.497,-43.443,-43.527,0,0,2.049,3.261,9.253,0,0.098,0.025,48.994,1.3598,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,5.05,0,0,0,0,0
932911,2025-05-14,0,1卸売業・小売業,0,新規先,宇都宮営業部,銀行紹介,2025,60,0.575,0,複合機,0,0,0,0,一般,471.915,47.855,1.784,8.542,8.255,0,0,0.236,2.474,1.884,0,1.907,0,4.594255,0.5643,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.98,0,0,0,0,0
914405,2025-06-10,0,1卸売業・小売業,0,既存先,宇都宮営業部,その他,2025,60,3.7,0,プレハブ冷凍庫,0,0,0,0,一般,212.024,160.361,-5.5,-7.162,11.234,0,0,13.378,0,5.71,0,1.983,0,55.03,9.7557,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.51,0,0,0,0,0
918541,2025-05-13,0,E 製造業,0,新規先,宇都宮営業部,銀行紹介,2025,60,2.45,0,フォークリフト,0,0,0,0,一般,4141.713,176.626,28.017,34.333,27.142,0,0,154,87.942,4.146,85.318,15.708,1.916,192.272,2.3256,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.05,0,0,0,0,0
