ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
921202,2026/1/9,宇都宮営業部,一般,再加熱キャビネット,p 医療・福祉,80688,,819092,726940,6720,25137,18295,39722,,16465,0,69036,,8_1,既存先,一般リース,1,当社受注,,2,銀行,821.1,60,3.44%
911609,2026/1/20,宇都宮営業部,自動車,いす”フォワード,D 建設業,98690,2882.3,826749,64857,15251,16387,21115,8655,23746,115949,0,2233,2874,9,既存先,自動車リース,1,当社受注,,2,銀行,8102.745,60,2.32%
933767,2026/1/9,宇都宮営業部,一般,クライアントPC,p 医療・福祉,6994,0,335837,84960,1981,40271,36966,15848,0,11358,28613,17693,,5,既存先,一般リース,1,当社受注,,2,銀行,2931.7,60,2.55%
922826,2026/2/2,宇都宮営業部,一般,① AED,E 製造業,248568,31366.4,986302,369416,86076,95384,-36932,,64392,38024,0,20944,,5,既存先,一般リース,1,当社受注,,2,銀行,281,60,2.76%
922826,2026/2/2,宇都宮営業部,一般,AED ①,E 製造業,248568,31366.4,986302,369416,86076,95384,-36932,,64392,38024,,20944,0,5,既存先,一般リース,1,当社受注,,2,銀行,335,60,2.83%
932121,2025/12/15,宇都宮営業部,一般,スクリューコンプレッサー,D建設業,5373,956.8,185978,33275,4021,4437,4337,0,998,1722,0,,3174,0,既存先,一般リース,1,当社受注,,2,銀行,2304,60,3.65%
911097,2025/12/30,宇都宮営業部,一般,射出成型機ライン,E 製造業,300000,2689.5,641414,186852,53734,47373,35409,14341,46548,101979,0,610,41351,5,既存先,一般リース,1,当社受注,,2,銀行,29840,60,2.50%
932097,2026/2/4,宇都宮営業部,一般,サーバー一式,p 医療・福祉,238594,13364,1081172,1046281,6217,10078,8246,50789,0,14751,0,11357,0,4,既存先,一般リース,1,当社受注,,2,銀行,22590,84,2.85%
920586,2025/8/4,宇都宮営業部,一般,コマツ製油圧ショベル,D 建設業,180102,25172.1,622687,215202,-5339,3318,2331,1814,47180,154119,0,8299,23116,4,既存先,一般リース,1,当社受注,,2,銀行,19500,60,1.85%
933924,2025/11/20,宇都宮営業部,一般,おむすび成形機,E 製造業,17966,0,70723,8085,359,406,406,0,1928,1394,0,0,504,0,新規先,一般リース,1,当社受注,,2,銀行,2970,84,3.85%
