ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
904684,2024/7/22,,一般,機械一式,E製造業,65.645,38.35945,1507.377,373.461,47.574,37.88,36.512,17.716,0,17.763,0,80.756,3.236,要注意先,既存先,一般リース,1,当社受注,,2,銀行,26.8115,72,5.01%
932286,2025/1/7,,自動車,カローラクロス,D 建設業,53.468,3.159,7.919,1.594,0.64,0.549,0.384,,,,0,,0.044,要注意先,既存先,自動車リース,1,当社受注,,2,銀行,3.436791,84,3.22%
924686,2025/6/9,,一般,冷蔵ショーケース,1卸売業・小売業,0,3.5195,41.217,28.563,1.446,3.369,1.632,0.65,0.8,1.932,0,2.449,,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,2.8,72,3.03%
916412,2025/4/1,,一般,WEB会議用モニター,E製造業,0,,544.082,298.622,-184.754,-125.668,-126.216,2.098,0,0,0.327,28.543,,要注意先,既存先,一般リース,2,失注,熊宿方法食堂（脳育・自己食堂）,2,銀行,1.878,60,4.08%
916479,2024/9/3,,一般,冷凍庫,1卸売業・小売業,77.624,2.028,725.865,175.251,18.478,17.872,12.993,2.869,,,,13.323,,4,既存先,一般リース,2,失注,設備投資見合せ（♥湯・延期）,2,銀行,20,72,
911400,2025/5/21,,自動車,UDトラックス クオン,H 運輸業・郵便業,34.5,,529.748,36.811,-33.759,-16.737,-17.247,2.186,11.5,5.711,26.665,2.521,23.916,無格付,既存先,自動車リース,2,失注,※着方法変更く駐費・自己貴金）,2,銀行,4.128882,48,3.24%
913804,2025/4/8,,自動車,STEPWGN,E製造業,12.0825,4.5942,168.344,21.33,-2.264,0.194,0.113,2.818,25.613,5.351,79.992,3.269,0.163,無格付,既存先,自動車リース,,当社受注,,2,銀行,4.469336,60,4.00%
903682,2025/4/21,,一般,事務機器一式,Rサービス薬（他に分類されないもの）,343.126,13.1544,576.222,463.937,23.046,19.122,14.504,28.339,,3.915,,13.589,,5,新規先,一般リース,1,当社受注,,2,銀行,5,60,3.02%
910097,2025/4/18,,自動車,ノア,Rサービス業（他に分類されないもの）,309.369,26.23495,913.956,891.898,71.905,61.216,31.228,11.836,0,1.645,0.431,50.731,,4,既存先,自動車リース,1,当社受注,,2,銀行,3.02707,60,2.33%
913608,2025/5/30,,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.26,60,1.58%
918942,2025/5/14,,割賦,ミニショベル,D建設業,112.482,3.8997,735.863,85.863,3.147,1.537,0.94,0.962,31.673,84.554,24.492,5.07,18.777,無格付,既存先,割賦,1,当社受注,,2,銀行,3.6,60,2.63%
913608,2025/5/30,,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1.,ユーザー,0.26,60,1.58%
913608,2025/4/10,,一般,防犯カメラシステム,Rサービス系（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,30.829,60,1.55%
913608,2025/5/30,,一般,防犯カメラシステム,Rサービス（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.3385,60,1.58%
