ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
921875,2026/1/22,宇都宮営業部,一般,電話機一式,Rサービス（他に分類されないもの）,53296,D,2373178,2373178,247916,256375,258223,253874,0,0,26434,0,,,新規先,一般リース,2,失注,奥方法変更（秋質・自己資金）,2,銀行,2400,84,3.00%
969960,2025/4/15,宇都宮営業部,自動車,フォワード 日本フルハーフ製ウイング,E 製造業,186717,0,4829318,282871,103424,117705,117290,1545,96089,383652,2559,19151,109231,6,既存先,自動車リース,1,当社受注,,1,ユーザー,9800,60,3.50%
933772,2025/10/24,宇都宮営業部,一般,ビジネスフォン一式,Rサービス業（他に分類されないもの）,20000,0,470578,253455,44987,46886,37015,10280,,4688,,10325,,0,既存先,一般リース,,失注,設投資見合せ（画・延期）,2,銀行,4500,84,3.02%
923411,2025/11/11,宇都宮営業部,自動車,サンバートラツク,1卸売業・小売業,2380,D,36625,9828,-4493,530,367,974,,189,,60,,,既存先,自動車リース,1,当社受注,,1,ユーザー,976.263,60,3.59%
967970,2025/5/1,宇都宮営業部,自動車,スズキ ソリオ,E 製造業,18330,0,85813,72080,1984,1265,1184,12007,,12837,,866,,0,新規先,自動車リース,2,失注,,2,銀行,1606.347,60,2.83%
950424,2026/2/13,宇都宮営業部,一般,マルチプロダクト校正器,E 製造業,0,2094,227990,200586,89190,89356,59664,4800,,858,0,2865,,,既存先,一般リース,2,失注,関車方法変更（境・割己資金）,2,銀行,12209.4,72,3.02%
936074,2025/10/21,宇都宮営業部,自動車,ホンダFREED E:HEVFF CROSSTAR,D 建設業,,3744,1358319,281267,171175,171936,89897,2584,5352,1722,0,10690,6596,2,既存先,自動車リース,1,当社受注,,2,銀行,3185.381,60,2.68%
934326,2026/1/27,宇都宮営業部,自動車,ホンダ オデッセイ E：HEV FF,E 製造業,128,0,143261,73503,21034,22563,16185,4469,256,8680,0,3615,0,,新規先,自動車リース,1,当社受注,,2,銀行,5264.023,72,4.62%
928161,2026/1/28,宇都宮営業部,一般,コニカミノルタ カラー複合機 bizhub C551i,Rサービス業（他に分類されないもの）,23730,0,173280,151134,1930,11695,8782,4391,,1487,5126,4772,,,既存先,一般リース,1,当社受注,,2,銀行,1590,60,2.75%
952535,2026/1/16,宇都宮営業部,自動車,ホンダ ヨNO-N E,1卸売業・小売業,71314,,1443650,251528,5551,4673,3893,10191,,24805,-37703,1636,,,既存先,自動車リース,1,当社受注,,1,ユーザー,3049.328,60,4.09%
933845,2025/11/5,宇都宮営業部,一般,アクサルタアイラス スキャン（分光測色機）,Rサービス業（他に分類されないもの）,9502,,584303,48518,-4406,301,-1680,9006,,22664,6703,2025,,0,新規先,一般リース,1,当社受注,,2,銀行,1900,60,4.03%
918918,2026/1/14,宇都宮営業部,一般,インバータースクリューコンプレッサー,E 製造業,5992,,131332,15735,-25839,-24646,14597,8004,,22515,,3750,28314,8_2,既存先,一般リース,1,当社受注,,2,銀行,2000,60,3.95%
928161,2026/1/30,宇都宮営業部,一般,コニカミノルタ カラー複合機 bizhub C551i,Rサービス業（他に分類されないもの）,23730,0,173280,151134,1930,11695,8782,4391,,1487,5126,4772,,0,既存先,一般リース,1,当社受注,,2,銀行,750,60,2.63%
928116,2026/1/30,宇都宮営業部,自動車,キャラバン 4ドアワゴン 標準ルーフ,D建設業,22500,2058,241763,39127,-6102,1199,654,989,3328,4018,,1498,3965,l,既存先,自動車リース,1,当社受注,,1,ユーザー,3793.745,60,3.01%
907200,2025/11/13,宇都宮営業部,一般,バッテリーフォークリフト（つくば工場）,E 製造業,273809,3087.04,3581416,311934,100243,-25951,-25862,19023,255943,367273,259779,240,5361,,既存先,一般リース,1,当社受注,,1,ユーザー,1700,60,2.10%
910623,2026/1/16,宇都宮営業部,自動車,冷蔵車大型トラック,H 運輸業・郵便業,2883395,266939.5,6075224,744341,156830,168444,182303,21199,149269,67594,,4084,765095,5,既存先,自動車リース,1,当社受注,,2,銀行,17700,60,2.50%
910623,2026/1/16,宇都宮営業部,自動車,冷蔵車大型トラック,H 運輸業・郵便業,2883395,266939.5,6075224,744341,156830,168444,182303,21199,149269,67594,,4084,765095,5,既存先,自動車リース,1,当社受注,,2,銀行,6980,60,2.50%
936264,2025/11/10,宇都宮営業部,一般,ソフトウェア,E製造業,0,5854,622574,264682,91718,91984,61697,5998,,5701,,12105,,,既存先,一般リース,1,当社受注,,2,銀行,4866,60,2.84%
921100,2025/9/19,宇都宮営業部,一般,フォークリフト バイリーン51,Rサービス業（他に分類されないもの）,20000,2748.4,1320806,226953,36626,53400,87754,21368,54916,8851,94985,5862,114791,4,既存先,一般リース,1,当社受注,,1,ユーザー,2400,60,2.68%
909556,2025/11/14,宇都宮営業部,自動車,ハイエースパン DX GL 5ドア STDフロア,1卸売業・小売業,50000,11555.2,556660,197189,50121,54932,26931,5322,,297,,3140,,3,既存先,自動車リース,1,当社受注,,2,銀行,3036.773,60,3.02%
901442,2026/1/27,宇都宮営業部,一般,ALTA Revolution見積パック！！,D建設業,20000,0,434535,69430,6771,4166,3878,1558,3006,41309,0,4078,6702,,既存先,一般リース,1,当社受注,,2,銀行,1900,60,4.08%
967970,2025/5/1,宇都宮営業部,自動車,NV 200バネット,E 製造業,18330,0,85813,72080,1984,1265,1184,12007,D,12837,0,866,,0,新規先,自動車リース,2,失注,天方法変更（・自己資）,2,銀行,2167.893,60,2.94%
966412,2025/10/1,宇都宮営業部,自動車,"レクサス NX HEVNX350H""F SPORT""",1卸売業・小売業,150073,0,1024616,193652,-28816,6374,6817,10835,20723,44624,0,12116,1558,8_1,既存先,自動車リース,2,失注,他社熱合（レート）,2,銀行,6143.745,60,3.52%
925649,2025/6/2,宇都宮営業部,一般,横型マシニングセンタ a 71nx,E 製造業,136634,358520.2,6746311,493455,-15593,26359,20862,9781,220502,368408,0,12000,242779,2,既存先,一般リース,2,失注,設画検資発合は（緑・総菜）,2,銀行,47000,84,2.51%
908945,2024/11/12,宇都宮営業部,自動車,GIGA25カーゴ 冷凍ウイング,H 運輸業・郵便業,30000,34898.7,1081692,166918,31224,21906,19774,30789,47728,266,208647,1082,13079,8_2,既存先,自動車リース,,失注,実車方法金更（開実・自己金）,2,銀行,24500,60,3.20%
960900,2026/1/6,宇都宮営業部,一般,スチームコンベクションオーブン,Rサービス業（他に分類されないもの）,296278,4001.4,1126337,470429,48635,57914,31696,27041,49770,51905,-323237,371,27586,,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,1461,60,3.06%
908945,2025/12/12,宇都宮営業部,自動車,GIGA25カーゴ 冷凍ウイング,H 運輸業・郵便業,30000,34898.7,1081692,166918,31224,21906,19774,30789,47728,266,208647,1082,13079,8_2,既存先,自動車リース,1,当社受注,,2,銀行,6572.545,60,4.08%
914658,2025/11/7,宇都宮営業部,一般,全自動錠剤分包機,Rサービス業（他に分額されないもの）,28316,6801.2,215231,67527,2395,1736,-5245,1137,,,0,6375,,0,既存先,一般リース,2,失注,他社競合（レート）,,ユーザー,7080,60,2.81%
917599,2025/7/3,宇都宮営業部,自動車,レクサス RX RX500HF SP,1卸売業・小売業,40000,8258.7,130713,79525,24103,22351,16395,3367,D,0,7995,2948,,,既存先,自動車リース,2,失注,設状資見合せ（結・超刷）,2,銀行,10268.51,60,
