ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
921608,2025/12/11,,自動車,三菱 スーパーグレード,H 運輸業・郵便業,44.989,15.6144,1551.253,183.686,114.407,115.938,70.723,1.691,18.227,34.299,0,0.062,158.755,4,既存先,自動車リース,2,失注,他社競合（レート）,,銀行,19,60,2.11%
921718,2025/8/19,,一般,精密平面研削盤,E製造業,2.9,0,113.049,31.952,2.309,4.158,-6.577,1.522,10.206,17.858,0.484,0.942,,無格付,新規先,一般リース,2,失注,株式方法変更（開発・自己資金）,2,銀行,14.85,84,2.50%
910805,2025/9/29,,一般,回転式たててすり,p 医療・福祉,714.028,2.091,549.971,549.971,1.399,-9.804,-9.804,64.125,,,13.403,4.462,,9,既存先,一般リース,2,失注,他社合（レート）,,銀行,0.13663,60,5.55%
921608,2025/11/28,,自動車,三菱 スーパーグレード,H 運輸業・郵便業,44.989,15.6144,1551.253,183.686,114.407,115.938,70.723,1.691,18.227,34.299,,0.062,158.755,無格付,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,17,60,2.23%
933658,2025/10/1,,自動車,ジープ コマンダー,Rサービス業（他に分類されないもの）,102.501,,88.673,88.673,-2.835,7.54,6.182,1.525,,5.128,,1.943,0,3,新規先,自動車リース,2,失注,,2,銀行,5.611854,84,2.58%
927878,2025/11/11,,自動車,メルセデスベンツG 63,Rサービス業（他に分類されないもの）,0,8.06,19.19,17.742,-6.983,-0.52,-0.641,10.954,0,,11.154,,0,無格付,既存先,自動車リース,2,失注,■放売見合（普題・建載）,2,銀行,32.846533,60,2.51%
921608,2025/12/11,,自動車,三菱 スーパーグレード,H 運輸業・郵便業,44.989,15.6144,1551.253,183.686,114.407,115.938,70.723,1.691,18.227,34.299,,0.062,158.755,4,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,17,60,2.11%
932749,2025/11/26,,一般,リア置きマニプレータ,E製造業,332.05,0,2949.485,385.971,90.049,124.591,-61.727,18.229,36.627,95.956,0.899,1.949,33.114,9,新規先,一般リース,2,失注,貴方法大更（開・自己美金）,2,銀行,142.03,120,
922810,2024/9/25,,自動車,日野プロフィア,H 運輸業・郵便業,195.816,0,1719.388,97.35,25.484,42.362,34.402,2.723,174.38,136.383,112.51,10.12,58.035,5,既存先,自動車リース,2,失注,設■投資見合せ（普通・日菜）,,銀行,19.12169,60,1.46%
919634,2025/10/1,,自動車,レックスGHYBRID,Rサービス業（他に分類されないもの）,109.681,0.7097,1458.409,354.165,37.358,52.037,36.38,14.617,,9.566,1.338,9.586,7.543,5,既存先,自動車リース,1,当社受注,,,銀行,2.240582,60,2.91%
924651,2025/10/31,,割賦,ミニホイルローダ,Rサービス業（他に分額されないもの）,43.743,3.8612,607.2,242.339,-27.479,-31.29,-31.646,52.993,,59.906,1.026,52.678,,9,既存先,割賦,2,失注,設側次養見合せ（替通・純縮）,2,銀行,5.3,60,2.53%
931037,2025/11/5,,一般,コマツ油圧ショベル,E 製造業,426.869,0,4923.84,1261.635,204.144,188.786,135.976,9.687,137.476,386.924,8.169,23.053,53.452,2,新規先,一般リース,2,失注,他社競合（レート）,2,銀行,1.2,60,2.67%
929151,2025/10/31,,一般,ホイールローダー902-03-CABAC,D建設業,23.979,7.1077,118.664,50.687,0.047,3.72,2.988,2.25,7.661,28.876,0.1,6.114,8.374,無格付,既存先,一般リース,,当社受注,,2,銀行,6.3,60,3.73%
918615,2025/7/15,,自動車,ホイールローダー,D建設業,13.654,9.1462,359.794,41.738,2.854,1.405,0.441,,1.659,22.444,0,4.773,7.206,無格付,既存先,自動車リース,1,当社受注,,2,銀行,6.4,84,2.96%
909543,2025/10/21,,一般,プリンター,p 医療・福祉,18.75,57.67931,2566.008,2125.866,43.284,-12.308,-12.854,161.214,,20.14,7.997,216.071,,9,既存先,一般リース,,失注,他社競合（レート）,2,銀行,0.16554,60,4.88%
910805,2025/5/8,,一般,回転式たててすり,p 医療・福祉,714.028,2.091,549.971,549.971,1.399,-9.804,-9.804,64.125,,,13.403,4.462,,9,既存先,一般リース,2,失注,他社合（レート）,2,銀行,0.1816,60,5.00%
922810,2024/9/25,,自動車,日野プロフィア,H 運輸業・郵便業,195.816,,1719.388,97.35,25.484,42.362,34.402,2.723,174.38,136.383,112.51,10.12,58.035,5,既存先,自動車リース,,失注,設響投資用合せ（毒・採用）,2,銀行,19.12169,60,1.46%
924752,2025/10/21,,割賦,コマツ油圧ショベル・付属部品,D建設業,0.722,6.5815,200.75,31.396,-3.866,15.912,11.054,3.178,6.844,11.407,,2.308,12.277,無格付,既存先,割賦,,,,2,銀行,8.99,36,3.81%
932625,2025/5/21,,自動車,GIGA22,Rサービス業（他に分類されないもの）,8.497,,822.04,321.655,17.504,11.33,10.146,32.394,,25.576,0,77.919,,無格付,新規先,自動車リース,1,当社受注,,2,銀行,16.75,60,2.51%
920378,2025/10/29,,一般,コマツホイルローダー,D 建設業,594.618,12.0321,675.914,212.716,34.032,48.446,21.671,38.622,173.793,250.05,491.668,3.048,22.022,無格付,既存先,一般リース,1,当社受注,,2,銀行,14.6,60,2.31%
933863,2025/11/6,,一般,油圧ミニショベル,D建設業,0.454,0,85.819,22.549,2.529,2.983,0.773,0.257,0.392,0.543,0,1.967,,無格付,新規先,一般リース,1,当社受注,,2,銀行,4.35,60,3.05%
921608,2025/12/11,,自動車,三菱 スーパーグレード,H 運輸業・郵便業,44.989,15.6144,1551.253,183.686,114.407,115.938,70.723,1.691,18.227,34.299,0,0.062,158.755,4,既存先,自動車リース,2,失注,他社競合（レート）,,銀行,14.9,60,2.11%
921202,2025/12/15,,一般,再加熱キャビネット,p 医療・福祉,80.688,0,819.092,726.94,6.72,25.137,18.295,39.722,,16.465,0,69.036,,要注意先,既存先,一般リース,1,当社受注,,2,銀行,0.3916,60,2.71%
916899,2025/12/10,,一般,ATLUS NEXT 基本システム（STD版）,Rサービス業（他に分類されないもの）,127.671308,0.8352,282.519,205.654,-50.207,-70.708,-1170.815,34.307,0.903,2.564,,29.073,1,要注意先,既存先,一般リース,1,当社受注,,2,銀行,1.57,60,4.63%
950039,2025/5/26,,自動車,アルファードZ,E製造業,121.916,0.7749,766.777,159.925,34.429,62.421,63.987,16.909,14.36,16.534,0,7.281,2.822,2,既存先,自動車リース,1,当社受注,,2,銀行,7.054028,60,2.84%
913839,2025/11/19,,一般,タワー型サーバー,D建設業,8.162,0.5566,268.361,232.698,36.985,37.754,28.305,4.739,0,13.24,0,18.937,,無格付,既存先,一般リース,1,当社受注,,2,銀行,1.209,60,3.16%
909734,2025/8/28,,自動車,キャラバン標準ルーフ,H 運輸業・郵便業,288.869538,16.4603,961.123,508.254,86.045,92.727,77.929,40.014,,77.667,1.015,44.928,,5,既存先,自動車リース,1,当社受注,,2,銀行,4.542618,60,2.02%
950239,2025/10/31,,一般,高速自動値付ラベラー,1卸売業・小売業,295.241,16.5503,3016.912,598.03,23.197,9.012,28.171,21.043,15.572,54.694,1.192,67.271,12.103,無格付,既存先,一般リース,1,当社受注,,2,銀行,2,84,2.85%
929412,2025/9/25,,割賦,キューブサウナー式,M 宿泊業・飲食サービス業,39.82,3.184,277.061,201.673,-26.688,31.128,-27.423,41.042,,44.524,-183.606,23.011,,無格付,既存先,割賦,1,当社受注,,2,銀行,9.48226,84,4.70%
928282,2025/7/11,,自動車,新型カローラツーリングX,1卸売業・小売業,38.787,1.353,968.943,146.074,29.97,30.977,8.576,7.411,,,9.012,0.922,,3,既存先,自動車リース,1,当社受注,,,銀行,2315.205,60,2.58%
913839,2025/11/19,,一般,タワー型サーバー,D建設業,8.162,0.5566,268.361,232.698,36.985,37.754,28.305,4.739,,13.24,,18.937,,無格付,既存先,一般リース,1,当社受注,,2,銀行,0.98,60,3.18%
910711,2025/12/1,,自動車,ライズ＜ HEV＞Z②,Rサービス業（他に分類されないもの）,62.994,0.9065,851.285,185.856,9.782,6.671,6.671,10.653,0,29.952,,26.287,0,要注意先,既存先,自動車リース,1,当社受注,,2,銀行,2.193727,60,5.07%
919315,2025/6/20,,一般,Wet アルミ切粉圧縮固形化装置,E製造業,1031.5,31.9226,10802.717,549.671,-64.272,264.318,224.767,10.7,440.555,940.306,28.99,27.609,290.11,5,既存先,一般リース,1,当社受注,,2,銀行,15.26,84,2.33%
926538,2025/12/9,,自動車,ボルボ XC90（令和4年式）,1卸売業・小売業,0.84,,28.459,6.846,0.57,0.511,0.336,0.199,,0,,1.358,0,要注意先,新規先,自動車リース,1,当社受注,,2,銀行,7.491519,36,3.52%
910711,2025/12/1,,自動車,ライズ＜HEV＞ Z②,Rサービス業（他に分類されないもの）,62.994,0.9065,851.285,185.856,9.782,6.671,6.671,10.653,,29.952,,26.287,0,要注意先,既存先,自動車リース,1,当社受注,,2,銀行,2.173727,60,5.06%
933734,2025/10/23,,自動車,ハイエースV R 02年 ： ハイエースパン DX,D建設業,32.497,,269.987,82.161,9.977,12.433,3.54,2.768,,0.706,,3.26,,9,新規先,自動車リース,1,当社受注,,2,銀行,1.922259,60,3.63%
923273,2025/10/6,,自動車,ミニショベル,D建設業,17.161,3.2514,304.978,87.81,5.771,6.232,5.882,0,8.229,15.32,,10.363,0.129,無格付,既存先,一般リース,1,当社受注,,2,銀行,5.35,60,2.82%
907431,2025/12/10,,一般,RICOH Pro C 5400S,Rサービス業（他に分類されないもの）,32.662733,,123.666,1.989,-26.711,-30.901,-31.037,8.09,,30.874,,0.17,,要注意先,新規先,一般リース,1,当社受注,,2,銀行,4.2,60,1.84%
950239,2025/12/10,,一般,高速自動値付ラベラー,1卸売業・小売業,295.241,16.5503,3016.912,598.03,23.197,9.012,28.171,21.043,15.572,54.694,1.192,67.271,12.103,5,既存先,一般リース,1,当社受注,,2,銀行,1.0874,60,3.14%
909151,2025/10/9,,割賦,（株）ミツトヨ輪郭形状・表面粗さ測定器,1卸売業・小売業,29.596,,789.924,141.857,7.094,11.801,9.59,2.249,,0.725,,11.203,,無格付,既存先,割賦,2,失注,他社競合（レート）,2,銀行,8,60,2.10%
933654,2025/10/1,,一般,H形鍋・NC6軸高速穴あけ加工機,E 製造業,31.652,0,327.092,68.33,0.336,0.525,0.42,,1.874,0.025,,3.17,,無格付,新規先,一般リース,2,失注,他社競合（レート）,2,銀行,36.5,84,2.50%
909543,2025/10/2,,一般,プリンター,p 医療・福祉,18.75,57.67931,2566.008,2125.866,43.284,-12.308,-12.854,161.214,,20.14,7.997,216.071,0,9,既存先,一般リース,2,失注,他社合（レート）,2,銀行,0.819,60,3.46%
910805,2025/5/8,,一般,回転式たててすり,p 医療・福祉,714.028,2.091,549.971,549.971,1.399,-9.804,-9.804,64.125,,,13.403,4.462,,6,既存先,一般リース,2,失注,他社熱合（レート）,,銀行,0.5448,60,4.17%
915353,2025/9/12,,一般,バッテリーフォークリフト,E 製造業,29.5,1.6414,1322.98,120.879,9.569,6.492,5.119,6.237,,,,9.88,0,無格付,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,1.9,60,3.76%
929934,2025/7/30,,割賦,全自動殺菌機,E 製造業,326.184,10.6812,4110.732,856.821,56.012,92.501,59.78,28.134,80.879,166.613,95.551,26.321,52.877,3,既存先,割賦,2,失注,他社競合（その他）,2,銀行,30,72,2.30%
911956,2025/11/6,,自動車,いす”GIGA25,H 運輸業・郵便業,19.28,,223.154,207.115,44.039,54.373,49.068,3.526,89.165,4.402,134.165,15.165,33.032,無格付,新規先,自動車リース,2,失注,他社競合（レート）,2,銀行,16.55,60,2.01%
916085,2025/8/5,,一般,温水高圧洗浄機,E 製造業,243.96,6.0591,177.154,931.198,580.255,583.261,400.134,25.606,,16.964,,15.508,,3,既存先,一般リース,2,失注,設投資見合せ（志・延期）,2,銀行,2.948,60,2.26%
928504,2025/10/22,,一般,キセノン光線治療器,p 医療・福祉,98.333,2.7268,456.48,364.436,82.919,58.833,43.966,103.75,0,21.814,3.134,173.323,,5,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,5.521,60,2.12%
921202,2025/11/10,,自動車,再加熱キャビネット,p 医療・福祉,80.688,,819.092,726.94,6.72,25.137,18.295,39.722,,16.465,0,69.036,,要注意先,既存先,自動車リース,2,失注,設投費用合せ（緑週・総菜）,2,銀行,1.527273,25,3.62%
921202,2025/10/E,,一般,再加熱キャビネット,p 医療・福祉,80.688,0,819.092,726.94,6.72,25.137,18.295,39.722,,16.465,,69.036,,要注意先,既存先,一般リース,,当社受注,,2,銀行,0.8584,60,3.22%
910262,2025/10/31,,一般,通話型無線機一式,H 運輸業・郵便業,47.424,48.2496,328.51,2445.811,54.927,57.541,56.265,205.516,,204.588,0,237.18,0,4,既存先,一般リース,,失注,他社競合（レート）,2,銀行,3.9214,60,2.21%
933513,2025/9/4,,一般,洗濯乾燥機,E 製造業,78.64,,114.775,328.139,100.428,131.766,20.856,18.675,37.631,73.171,2.229,5.415,0,無格付,既存先,一般リース,2,失注,禁進方法変更（食・己発金）,2,銀行,11.409091,96,2.52%
