ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
969960,2025/6/24,宇都宮営業部,一般,リリーフ締付装置,E製造業,186717,0,4829318,282871,103424,117705,117290,1545,96089,383652,2559,19151,109231,,既存先,一般リース,1,当社受注,,1,ユーザー,17250,84,3.21%
912730,2025/8/18,宇都宮営業部,一般,日立建機製 ミニ油圧ショベル,D建設業,5900,,118510,35940,1961,1804,1750,2781,946,3983,291,1184,3152,,既存先,一般リース,1,当社受注,,2,銀行,6000,60,2.53%
955629,2025/12/10,宇都宮営業部,自動車,メルセデスベンツ A200dセダン（令和4年式）,Rサービス業（他に分類されないもの）,15324,0,322693,139134,6835,8341,6444,3473,0,U,D,5991,D,4,既存先,自動車リース,1,当社受注,,,銀行,10,17,
922537,2025/12/18,宇都宮営業部,一般,G-SCAN Z2 Flagship・エーミングPr oパッケ,Rサービス業（他に分されないもの）,8195,3163.8,101724,47972,1729,3069,3109,2366,0,3134,2649,3960,U,,既存先,一般リース,2,失注,関連方法（別★・自己資金）,2,銀行,1330,60,4.57%
918872,2024/12/6,宇都宮営業部,自動車,小型バス ローザ,Rサービス業（他に分類されないもの）,333906,1773.3,942077,942077,-6399,-11613,-11613,89713,U,96358,7117,,D,5,既存先,自動車リース,1,当社受注,,2,銀行,7530,72,3.21%
905660,2025/11/28,宇都宮営業部,自動車,三菱ふそうスーパーグレードFP-R,H 運輸業・郵便業,12652,0,170279,20465,7858,6525,3847,153,8043,18163,0,259,6278,,既存先,自動車リース,1,当社受注,,2,銀行,15400,60,2.71%
923498,2025/12/17,宇都宮営業部,自動車,プジョー408,D 建設業,,3202.2,51278,19437,-3254,-2254,-3661,386,358,,0,1052,1287,l,既存先,自動車リース,1,当社受注,,,銀行,3213.182,41,3.53%
901251,2025/6/23,宇都宮営業部,自動車,スーパーグレート,H 運輪業・郵便業,42800,30080.7,1197169,108598,8064,28432,23179,,48262,63967,0,5851,32064,,既存先,自動車リース,1,当社受注,,2,銀行,19700,60,2.14%
952881,2025/7/18,,自動車,UDトラックス クオン,H 運輪業・郵便業,2896,3504,365280,60429,19439,26799,18310,,17300,20025,10288,420,331,2,既存先,自動車リース,1,当社受注,,1,ユーザー,22200,60,1.93%
933688,2025/11/26,,自動車,いす”エルフミオ 1. 15t,1卸売業・小売業,100243,0,566334,138519,36446,32929,32858,8505,,689,,1395,,9,新規先,自動車リース,1,当社受注,,2,銀行,4554.4,60,3.81%
925649,2025/6/2,宇都宮営業部,一般,横型マシニングセンタ a 71nx,E 製造業,136634,358520.2,6746311,493455,-15593,26359,20862,9781,220502,368408,D,12000,242779,,既存先,一般リース,2,失注,設検資見合せ（鉄道・基算）,2,銀行,46000,84,2.51%
925649,2025/6/2,,一般,横型マシニングセンタ a 71nx,E製造業,136634,358520.2,6746311,493455,-15593,26359,20862,9781,220502,368408,D,12000,242779,2,既存先,一般リース,2,失注,設備投資見合せ（鉄道・並節）,2,銀行,46000,84,2.51%
933349,2025/7/29,宇都宮営業部,自動車,トヨタ クラウン SPORT Z,Rサービス業（他に分類されないもの）,2700,0,17528,16652,213,167,21,457,,1215,1916,1718,,,新規先,自動車リース,2,失注,設備投資見合せ（道・延期）,2,銀行,5820.918,60,
935886,2025/11/5,宇都宮営業部,一般,電話設備一式,1卸売業・小売業,30000,0,4422351,839043,309599,316679,212456,16700,,20533,167,11074,0,9,既存先,一般リース,2,失注,他社合（レート）,2,銀行,650,60,2.04%
918916,2025/9/10,宇都宮営業部,自動車,ミライース,p 医療・福祉,33320,0,2224041,2039500,-5972,29747,29242,77181,,271592,-2275187,51056,U,,既存先,自動車リース,1,当社受注,,1,ユーザー,985.445,60,3.83%
925649,2025/6/2,宇都宮営業部,一般,横型マシニングセンタ a 71nx,E製造業,136634,358520.2,6746311,493455,-15593,26359,20862,9781,220502,368408,0,12000,242779,2,既存先,一般リース,2,失注,設備投資見合せ〔通・監師）,,銀行,47000,84,2.51%
932230,2025/11/19,宇都宮営業部,一般,テレビ会議システム（本社、群馬営業所）,Rサービス業（他に分類されないもの）,252101,,567437,214937,34807,27534,25118,2462,26785,,12001,21881,12494,6,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,2250,60,2.75%
921425,2025/11/6,宇都宮営業部,一般,ソフトウェア,Rサービス業（他に分類されないもの）,30950,2387.8,298379,173015,62976,42968,42968,5168,,4301,,6129,,,既存先,一般リース,1,当社受注,,2,銀行,1286.25,60,2.79%
930482,2025/11/12,宇都宮営業部,一般,コマツ新車PC138US-11,1卸売業・小売業,215935,5356.8,547668,320902,16978,11955,11428,57336,,97626,,3600,,8_1,既存先,一般リース,1,当社受注,,2,銀行,21100,96,3.21%
928613,2025/11/27,宇都宮営業部,自動車,UDトラックス トラクタ,H 運輸業・郵便業,161953,34416.72,1402554,1402554,38340,35397,25684,157066,D,306678,560,50871,0,5,既存先,自動車リース,1,当社受注,,2,銀行,13120,60,2.21%
971311,2025/11/28,宇都宮営業部,割賦,オフィス事務什器,E製造業,333865,23513.643,2398552,604250,44011,33034,16523,7916,46079,105246,,33022,,,既存先,割賦,1,当社受注,,,銀行,12132.84,60,2.75%
925649,2025/7/14,宇都宮営業部,一般,ワイヤ放電加工機 ALN600G,E製造業,136634,358520.2,6746311,493455,-15593,26359,20862,9781,220502,368408,,12000,242779,2,既存先,一般リース,1,当社受注,,2,銀行,21310,84,2.36%
961155,2025/11/26,宇都宮営業部,自動車,令和2年式いす※ダンプ,1卸売業・小売業,50000,,310504,78864,24992,27054,127486,838,21171,41005,3126,65,9809,5,新規先,自動車リース,1,当社受注,,2,銀行,10750,39,2.51%
921100,2025/8/7,宇都宮営業部,一般,バツテリーフォークリフトバイリーン,Rサービス業（他に分類されないもの）,20000,2748.4,1320806,226953,36626,53400,87754,21368,54916,8851,94985,5862,114791,4,既存先,一般リース,1,当社受注,,1,ユーザー,2400,60,2.69%
929999,2025/12/8,宇都宮営業部,一般,ハンディーターミナル,1卸売業・小売業,149972,0,3276870,155265,20555,21386,21888,5236,0,,17448,10440,974,3,新規先,一般リース,1,当社受注,,2,銀行,280,60,4.21%
910370,2025/7/8,宇都宮営業部,自動車,レクサス LM LM500H VERSION L,Rサービス業（他に分類されないもの）,338176,51048.6,646502,213120,13411,2565,1904,4701,20786,59536,,22437,65354,6,既存先,自動車リース,1,当社受注,,2,銀行,16522.391,60,4.01%
931968,2025/10/16,宇都宮営業部,自動車,UDトラックス トラクタ,H 運輸業・郵便業,11402,0,1427658,646935,-9325,59400,19941,72150,0,729092,-746762,4951,0,4,既存先,自動車リース,1,当社受注,,1,ユーザー,15000,60,2.27%
910559,2025/11/7,宇都宮営業部,自動車,メルセデスベンツ G450 d,Rサービス茶（他に分類されないもの）,40000,3804.4,638293,151056,28604,27973,18873,966,,4397,,5581,0,3,既存先,一般リース,1,当社受注,,2,銀行,20982.581,72,3.21%
955629,2025/9/26,宇都宮営業部,一般,Pharnes X／EXMV-SH560Eシステム①（ソフト）,Rサービス業（他に分類されないもの）,15324,,322693,139134,6835,8341,6444,3473,0,,,5991,,,既存先,一般リース,1,当社受注,,2,銀行,1133.457,60,2.57%
910623,2025/10/10,宇都宮営業部,自動車,日野ブロフィア 新潟①,H 運輸業・郵便業,2883395,266939.5,6075224,744341,156830,168444,182303,21199,149269,67594,,4084,765095,5,既存先,自動車リース,1,当社受注,,2,銀行,17700,60,2.00%
955629,2025/9/26,宇都宮営業部,一般,Pharnes X/EXMV-SH560Eシステム①（ソフト）,Rサービス業（他に分類されないもの）,15324,,322693,139134,6835,8341,6444,3473,0,,,5991,0,,既存先,一般リース,1,当社受注,,,銀行,1133.7,60,2.57%
936074,2025/11/12,宇都宮営業部,自動車,スズキ スペーシアHYBRID G,D建設業,,3744,1358319,281267,171175,171936,89897,2584,5352,1722,,10690,6596,2,既存先,自動車リース,1,当社受注,,2,銀行,1467.044,60,2.59%
907223,2025/11/11,宇都宮営業部,一般,防犯カメラ（本社）,E製造業,14264,0,400930,91184,-20892,-15038,-16052,3570,10984,31690,3081,635,5518,8_1,既存先,一般リース,1,当社受注,,2,銀行,1900,60,3.88%
