ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
906164,2026/3/13,宇都宮営業部,一般,Allin One Meeting Board,1卸売業・小売業,375809,558.95,3023014,724223,59738,81284,51628,19444,,246,15931,42920,,4,既存先,一般リース,2,失注,設備投資見合せ（諸退・延用）,2,銀行,1359.7,60,2.73%
934364,2026/2/2,宇都宮営業部,一般,業務用冷凍庫,E製造業,33589,0,58279,17210,-12710,-13250,-12415,1488,752,5975,283,2897,4686,9,新規先,一般リース,2,失注,男方法大王（製・自己資金）,2,銀行,450.5,60,3.06%
912521,2025/10/6,宇都宮営業部,一般,目砂散布機②,1卸売業・小売業,18550,12250.68,120000,120000,28264,35008,18857,21443,,13337,1490341,45810,,0,既存先,一般リース,2,失注,他社競合（レート）,,銀行,4510,60,2.84%
934091,2025/12/18,宇都宮営業部,一般,インクジェットプリンタ,Rサービス業（他に分類されないもの）,5068,0,61130,17423,3504,3098,2922,1691,,,,770,,0,新規先,一般リース,,失注,開場方法変更（脱費・自己責金）,,銀行,3300,60,3.06%
921315,2026/2/24,宇都宮営業部,自動車,いす”中古トラック（令和2年式）③,H 運輪業・郵便業,78750,2807.7,6099201,501542,206917,229417,106062,,114997,111843,,820,635379,,既存先,自動車リース,,失注,他社熱合（レート）,1,ユーザー,11900,60,2.70%
976690,2026/3/11,宇都宮営業部,割賦,H27年製ブルドーザー,E 製造業,919519.454,63438.41,9847763,1192048,215270,267634,185572,46653,679934,2862065,71899,43606,154274,2,既存先,割賦,2,失注,他社競合（レート）,2,銀行,15800,24,2.20%
928504,2026/2/16,宇都宮営業部,一般,キセノン光線治療器,p 医療・福祉,98333,2726.8,4564804,3644365,82919,58833,43966,103750,,21814,3134,173323,0,5,既存先,一般リース,2,失注,他社験合（レート）,1,ユーザー,7900,60,2.52%
923414,2026/3/5,宇都宮営業部,一般,ショベルカー,Rサービス業（他に分類されないもの）,78440.499,10455.2,708906,116967,6630,3473,2340,1070,36460,35264,25848,3343,16046,6,既存先,一般リース,1,当社受注,,1,ユーザー,28500,60,2.62%
929522,2025/6/23,宇都宮営業部,一般,データサーバーMBF-1000,p 医療・福祉,345000,20627.9,3799870,3266168,-306604,-282942,-284636,442196,,,28982,56383,,5,既存先,一般リース,2,失注,他社競合（レート）,,銀行,25000,60,2.20%
932776,2026/2/24,宇都宮営業部,割賦,食器類,p 医療・福祉,324506,0,781812,781812,25392,50203,38595,52663,,5392,1025,13844,0,5,新規先,割賦,2,失注,物件不適,,銀行,5125,60,
922566,2026/2/4,宇都宮営業部,一般,セキュリティー機器F G50G5Y,E 製造業,17512,70.8,303646,112991,31539,40771,32406,7204,14141,34815,,18,4408,3,既存先,一般リース,1,当社受注,,,銀行,800,60,3.83%
934103,2025/12/23,宇都宮営業部,自動車,ランドクルーザー250zX,Rサービス業（他に分類されないもの）,64020,,45537,45394,8146,7205,7124,647,,296,,2976,0,9,新規先,自動車リース,,当社受注,,,銀行,7156.818,60,4.23%
914670,2026/1/21,宇都宮営業部,一般,スライサー,1卸売業・小売業,201994,15139.58,7285143,1242363,27998,44928,44731,50017,,26706,36206,106813,,七,既存先,一般リース,1,当社受注,,2,銀行,1910,60,2.60%
921315,2026/2/24,宇都宮営業部,自動車,いすが中古トラック（令和2年式）③,H 運輪業・郵便業,78750,2807.7,6099201,501542,206917,229417,106062,,114997,111843,,820,635379,,既存先,自動車リース,1,当社受注,,1,ユーザー,6200,60,2.66%
926075,2026/3/24,宇都宮営業部,一般,OKI A4カラーレーザープリンター,Rサービス業（他に分額されないもの）,30681.846,140.8,741593,446936,50631,48127,32931,58368,18234,56557,0,6657,38576,5,既存先,一般リース,1,当社受注,,,銀行,154.3,60,5.10%
930728,2026/2/18,宇都宮営業部,自動車,ELFワイド,Rサービス業（他に分類されないもの）,10000,0,481966,157518,17595,15874,12621,2484,D,1587,0,15326,,0,新規先,自動車リース,1,当社受注,,2,銀行,7863.482,60,2.80%
921315,2026/1/28,宇都宮営業部,自動車,いす”中古トラック（令和2年式）③,H 運輸業・郵便業,78750,2807.7,6099201,501542,206917,229417,106062,,114997,111843,0,820,635379,,既存先,自動車リース,1,当社受注,,2,銀行,9700,60,2.41%
934518,2026/3/4,宇都宮営業部,割賦,トヨタバッテリーフォークリフト,H 運輸業・郵便業,591137,,1375997,631998,165337,111231,70167,169550,18883,138020,0,388,7944,,新規先,割賦,1,当社受注,,2,銀行,5340,36,3.03%
922031,2026/2/6,宇都宮営業部,一般,油圧ショベル,D 建設業,53580,102230.05,578373,118012,-29034,-25469,47117,43330,118168,179929,261547,2492,36055,9,既存先,一般リース,1,当社受注,,2,銀行,17900,60,2.86%
913584,2025/9/5,宇都宮営業部,一般,ファイバーレーザー切断加工機,E 製造業,603062,0,3534829,264918,101617,125889,101670,28420,18852,70945,90,23500,22390,,新規先,一般リース,2,失注,無方法変更（資・自己資主）,2,銀行,136800,84,1.98%
928504,2026/2/16,宇都宮営業部,一般,キセノン光線治療器,p 医療・福祉,98333,2726.8,4564804,3644365,82919,58833,43966,103750,,21814,3134,173323,0,5,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,15000,60,2.50%
910874,2026/2/17,宇都宮営業部,一般,全自動画像寸法測定器,E 製造業,4322,16956.8,215717,37712,-573,4276,1316,935,4928,3895,,20,7957,0,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,6809.3,72,2.79%
928504,2026/3/23,宇都宮営業部,一般,キセノン光線治療器,p 医療・福祉,98333,2726.8,4564804,3644365,82919,58833,43966,103750,,21814,3134,173323,0,5,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,600,60,3.02%
912703,2026/2/26,宇都宮営業部,自動車,メルセデスベンツーAMG G 6 3,D建設業,94436,2783,1320816,281119,90071,93385,69827,34897,22956,66319,12715,1447,5256,5,既存先,自動車リース,,失注,実車方法変更（後・自己資金）,2,銀行,"28779,275",48,3.50%
932719,2025/5/30,宇都宮営業部,自動車,日野プロフィア FS③,1卸売業・小売業,77380.956,,4341478,162455,14157,11329,6394,12520,60300,84286,30748,1265,11313,5,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,17300,60,2.50%
921315,2025/10/6,宇都宮営業部,自動車,いす※中古トラック（令和2年式）③,H 運輸業・郵便業,78750,2807.7,6099201,501542,206917,229417,106062,0,114997,111843,0,820,635379,,既存先,自動車リース,2,失注,その他（不成約）,2,銀行,20000,60,
909170,2026/2/2,宇都宮営業部,自動車,いす”トラック③,H 運輸業・郵便業,165999,D,2183712,418471,236342,259826,191482,14466,123239,185793,3360,11227,36788,4,新規先,自動車リース,2,失注,実方法変更（流・自己資金）,2,銀行,8629.109,60,2.52%
917767,2026/2/13,宇都宮営業部,一般,オイルミスト用エアコン,E 製造業,38609,0,193083,82230,23050,21788,21578,l,5057,2576,,2450,5733,,既存先,一般リース,2,失注,携方法文更（開発・自己資金）,2,銀行,3354,72,2.70%
908360,2025/9/8,宇都宮営業部,一般,クボタトラクター,D 建設業,1027820,97341.8,3572100,881869,44358,14126,7661,58480,2651,5567,3324,84966,121450,5,既存先,一般リース,2,失注,他社合（レート）,2,銀行,5515.2,60,3.51%
921315,2026/1/28,宇都宮営業部,自動車,いす※中古トラック（令和2年式）③,H 運輪業・郵便業,78750,2807.7,6099201,501542,206917,229417,106062,U,114997,111843,U,820,635379,,既存先,自動車リース,,失注,他社競合（レート）,2,銀行,17500,60,2.45%
918621,2025/4/14,宇都宮営業部,自動車,日野 レンジャー GD,H 運輪業・郵便業,20000,,182224,34454,258,8425,8210,1235,3902,5592,,1481,8895,,新規先,自動車リース,2,失注,実生方法変更（超売・自ご金）,2,銀行,9750,60,2.89%
933885,2025/11/10,宇都宮営業部,自動車,キャラバン 5ドアバン 標準ルーフ,Rサービス業（他に分類されないもの）,1002,,191185,93046,10373,13245,9517,9132,,11190,,700,50,,新規先,自動車リース,2,失注,他社競合（レート）,2,銀行,4250.227,60,3.50%
921000,2025/9/30,宇都宮営業部,自動車,ライズHE V,E 製造業,4996,1608.8,316186,80249,19684,20085,15879,1061,1376,244,,2899,3744,,既存先,自動車リース,2,失注,,2,銀行,2673.062,60,2.59%
909170,2026/2/2,宇都宮営業部,自動車,いす”トラック③,H 運輸業・郵便業,165999,,2183712,418471,236342,259826,191482,14466,123239,185793,3360,11227,36788,4,新規先,自動車リース,2,失注,,2,銀行,8629.109,60,2.52%
976690,2025/11/19,宇都宮営業部,割賦,H27年製ブルドーザー,E 製造業,919519.454,63438.41,9847763,1192048,215270,267634,185572,46653,679934,2862065,71899,43606,154274,2,既存先,割賦,2,失注,他社競合（レート）,2,銀行,30800,60,2.51%
932749,2025/4/2,宇都宮営業部,一般,リア置きマニプレータ,E 製造業,332050,,2949485,385971,90049,124591,-61727,18229,36627,95956,899,1949,33114,6,新規先,一般リース,2,失注,,,銀行,103950,120,2.38%
934377,2026/2/3,宇都宮営業部,一般,メタルエステ,E 製造業,756658,,5010249,5858,・129580,-76429,4644,,359333,193766,759638,,66455,,新規先,一般リース,2,失注,他社競合（レート）,2,銀行,23770,84,2.01%
924158,2026/2/3,宇都宮営業部,自動車,ボルボキャブ付シャーシ,D建設業,13599,23542,1332044,226313,21809,47301,37480,14065,68160,92940,,16886,28818,4,既存先,自動車リース,2,失注,他社競合〔レート）,2,銀行,20000,60,2.52%
931346,2025/5/28,宇都宮営業部,一般,冷却設備機器,E製造業,1136352,14783.3,17214731,3183649,-113523,42459,7594,53767,272191,528077,198580,,53545,8_1,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,24400,84,3.21%
912008,2026/1/19,宇都宮営業部,自動車,AURA G,E 製造業,201230,9711,1178341,231183,22715,13217,12624,352,8537,6282,51,12397,0,5,既存先,自動車リース,1,当社受注,,2,銀行,2895.682,60,3.56%
921315,2026/1/28,宇都宮営業部,自動車,いす”中古トラック（令和2年式） ③,H 運輸業・郵便業,78750,2807.7,6099201,501542,206917,229417,106062,,114997,111843,,820,635379,,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,9700,60,2.45%
915126,2026/2/10,宇都宮営業部,自動車,レヴォーグ St i スポーツR EX,1卸売業・小売業,59821,4739,263252,132811,-5192,-1451,-2434,,,4870,,3344,,9,既存先,自動車リース,,,,2,銀行,2570.91,48,2.83%
933767,2026/1/9,宇都宮営業部,一般,クライアントPC,p 医療・福祉,6994,,335837,84960,1981,40271,36966,15848,,11358,28613,17693,,5,既存先,一般リース,1,当社受注,,2,銀行,2168.3,60,2.52%
906939,2025/12/23,宇都宮営業部,自動車,レクサス UX300h,Rサービス業（他に分類されないもの）,1363627,69771.3,6304684,1228607,515120,464979,262385,201522,268108,427509,335666,37644,8945,9,既存先,自動車リース,1,当社受注,,2,銀行,4696.6,60,2.41%
914323,2026/1/30,宇都宮営業部,一般,キャノン複合機C3926F,1卸売業・小売業,3487,10707.6,595040,129558,5738,13364,27381,2444,,7535,,5359,,,既存先,一般リース,2,失注,他社験合（レート）,2,銀行,1021.4,60,3.00%
908360,2025/9/8,宇都宮営業部,一般,クボタトラクター,D建設業,1027820,97341.8,3572100,881869,44358,14126,7661,58480,2651,5567,3324,84966,121450,5,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,7040,60,3.51%
915520,2025/5/14,宇都宮営業部,自動車,いす” ELFナロー（SG）,H 運輸業・郵便業,34329,,407997,342173,-18456,-17591,-22967,9665,,7853,,7362,,,既存先,自動車リース,2,失注,他社合（レート）,2,銀行,1800,60,2.50%
914670,2026/1/21,宇都宮営業部,一般,スライサー,1卸売業・小売業,201994,15139.58,7285143,1242363,27998,44928,44731,50017,,26706,36206,106813,0,,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,2696.5,60,2.77%
909170,2026/2/2,宇都宮営業部,自動車,いす”トラック③,H 運輸業・郵便業,165999,0,2183712,418471,236342,259826,191482,14466,123239,185793,3360,11227,36788,,新規先,自動車リース,2,失注,他社合（レート）,2,銀行,14961.782,60,2.51%
908360,2025/9/8,宇都宮営業部,一般,クボタトラクター,D建設業,1027820,97341.8,3572100,881869,44358,14126,7661,58480,2651,5567,3324,84966,121450,5,既存先,一般リース,2,失注,他社競合（レート）,,銀行,7037,60,3.52%
908802,2025/7/24,宇都宮営業部,自動車,レクサス 新型RX350h,D 建設業,13487,0,710216,145018,31973,34432,21610,431,6603,131532,-214378,,4847,4,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,7152.091,60,2.52%
921202,2025/12/22,宇都宮営業部,一般,再加熱キャビネット,p 医療・福祉,80688,,819092,726940,6720,25137,18295,39722,,16465,0,69036,,8.1,既存先,一般リース,1,当社受注,,2,銀行,1001.1,60,3.05%
