ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
906346,2024/11/13,宇都宮営業部,自動車,GIGA22,Rサービス業（他に分額されないもの）,170046,36212,410524,107386,48724,78331,73572,6618,17869,35863,,1825,11564,,既存先,自動車リース,1,当社受注,,2,銀行,"20599,446",60,3.07%
913608,2025/3/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,3200,60,1.61%
928696,2025/3/25,宇都宮営業部,自動車,ハイエースバン S-GLダークプライム,D建設業,20738,4269.815,86872,17978,-15343,-15368,-15314,2947,1671,9963,152,01,120,0,新規先,自動車リース,1,当社受注,,2,銀行,4493.2,60,4.07%
908202,2025/4/4,宇都宮営業部,一般,部犯カメラ,H 運輸業・郵便業,104501,27285.6,1771176,266214,55236,53044,13799,8568,8872,15029,0,8565,344661,8_2,既存先,一般リース,1,当社受注,,2,銀行,500,60,3.64%
929371,2025/2/13,宇都宮営業部,一般,パソコン、モニター,Rサービス業（他に分額されないもの）,130346,4426.52,4942769,4826312,573955,596559,416974,30058,,78,1689,20855,,,既存先,一般リース,1,当社受注,,2,銀行,1187.8,60,3.24%
929371,2025/1/31,宇都宮営業部,一般,パソコン、モニター,Rサービス業（他に分類されないもの）,130346,4426.52,4942769,4826312,573955,596559,416974,30058,,78,1689,20855,,4,既存先,一般リース,1,当社受注,,1,ユーザー,243.4,48,3.17%
912304,2025/2/28,,一般,ほのぼのシリーズ,Rサービス業（他に分類されないもの）,205328,3986.7,1982088,1981231,63414,63355,44306,45164,,77049,-110579,318210,,4,既存先,一般リース,1,当社受注,,2,銀行,998.64,60,4.23%
938328,2026/2/16,宇都宮営業部,自動車,新型プロボックス（HEV） GL,E 製造業,122776.5,,372275,75854,10042,17527,13187,2947,27612,51357,0,2541,4158,8_2,新規先,自動車リース,,失注,数■炊資見合せ（特選・道）,2,銀行,2589.46,60,
934482,2026/2/25,宇都宮営業部,自動車,トヨタ プリウス（R7年式X）,1卸売業・小売業,11200,U,100364,51707,334,915,834,4253,0,9413,,5416,,0,新規先,自動車リース,,失注,,2,銀行,2699.091,48,
905727,2026/3/13,宇都宮営業部,一般,複合機・プリンター,E 製造業,86308,0,1025491,288780,24814,29710,-17305,20943,26198,442382,-522902,1902,0,2,新規先,一般リース,,失注,他社競合（レート）,1,ユーザー,2739.9,60,2.66%
902732,2024/2/15,宇都宮営業部,一般,フォーミングマシン,E 製造業,10918,3467.2,509663,173370,32689,68690,53924,9034,15956,41729,2864,9293,3045,,既存先,一般リース,2,失注,秋備投資見合せ（普通・純物）,2,銀行,41400,84,2.51%
903954,2025/9/2,宇都宮営業部,一般,ほのぼのNEXT（介護保険業務支援システム）,Rサービス業（他に分類されないもの）,23574,,715819,636604,6362,11631,12152,44268,,19733,4306,14432,,0,新規先,一般リース,2,失注,,2,銀行,8966.75,60,2.62%
989398,2026/2/6,宇都宮営業部,一般,（中古） 立型マシニングセンター,E 製造業,249167,23042.1,926507,226447,-89478,-41329,-36398,883,27574,65061,28238,17386,32071,8_1,既存先,一般リース,2,失注,,2,銀行,20590,60,3.21%
932247,2025/1/10,宇都宮営業部,一般,AIDA オートハンドシリーズ,E 製造業,260101,,2815977,191789,56626,56800,53167,2139,41301,86772,4492,8339,19440,,新規先,一般リース,2,失注,,2,銀行,49000,108,2.19%
