取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
907200,2025-11-13,0,E 製造業,0,既存先,宇都宮営業部,その他,2025,60,1.7,0,バッテリーフォークリフト（つくば工場）,0,0,0,0,一般,3581.416,311.934,100.243,-25.951,-25.862,0,0,367.273,259.779,19.023,255.943,0.24,5.361,273.809,3.08704,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.10,0,0,0,0,0
910623,2026-01-16,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2026,60,17.7,0,冷蔵車大型トラック,0,0,0,0,自動車,6075.224,744.341,156.83,168.444,182.303,0,0,67.594,0,21.199,149.269,4.084,765.095,2883.395,266.9395,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
910623,2026-01-16,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2026,60,6.98,0,冷蔵車大型トラック,0,0,0,0,自動車,6075.224,744.341,156.83,168.444,182.303,0,0,67.594,0,21.199,149.269,4.084,765.095,2883.395,266.9395,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
936264,2025-11-10,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,4.866,0,ソフトウェア,0,0,0,0,一般,622.574,264.682,91.718,91.984,61.697,0,0,5.701,0,5.998,0,12.105,0,0,5.854,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.84,0,0,0,0,0
921100,2025-09-19,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,2.4,0,フォークリフト バイリーン51,0,0,0,0,一般,1320.806,226.953,36.626,53.4,87.754,0,0,8.851,94.985,21.368,54.916,5.862,114.791,20,2.7484,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.68,0,0,0,0,0
909556,2025-11-14,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,60,3.036773,0,ハイエースパン DX GL 5ドア STDフロア,0,0,0,0,自動車,556.66,197.189,50.121,54.932,26.931,0,0,0.297,0,5.322,0,3.14,0,50,11.5552,0,3,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.02,0,0,0,0,0
901442,2026-01-27,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2026,60,1.9,0,ALTA Revolution見積パック！！,0,0,0,0,一般,434.535,69.43,6.771,4.166,3.878,0,0,41.309,0,1.558,3.006,4.078,6.702,20,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.08,0,0,0,0,0
967970,2025-05-01,0,E 製造業,0,新規先,宇都宮営業部,銀行紹介,2025,60,2.167893,0,NV 200バネット,0,0,0,0,自動車,85.813,72.08,1.984,1.265,1.184,0,0,12.837,0,12.007,0,0.866,0,18.33,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.94,0,天方法変更（・自己資）,0,0,天方法変更（・自己資）
966412,2025-10-01,0,1卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,2025,60,6.143745,0,"レクサス NX HEVNX350H""F SPORT""",0,0,0,0,自動車,1024.616,193.652,-28.816,6.374,6.817,0,0,44.624,0,10.835,20.723,12.116,1.558,150.073,0,0,要注意先,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.52,0,他社熱合（レート）,0,0,他社熱合（レート）
925649,2025-06-02,0,E 製造業,0,既存先,宇都宮営業部,銀行紹介,2025,84,47,0,横型マシニングセンタ a 71nx,0,0,0,0,一般,6746.311,493.455,-15.593,26.359,20.862,0,0,368.408,0,9.781,220.502,12,242.779,136.634,358.5202,0,2,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.51,0,設画検資発合は（緑・総菜）,0,0,設画検資発合は（緑・総菜）
