ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
921608,2025/12/11,宇都宮営業部,自動車,三菱 スーパーグレード,H 運輸業・郵便業,44989,15614.4,1551253,183686,114407,115938,70723,1691,18227,34299,0,62,158755,4,既存先,自動車リース,2,失注,他社競合（レート）,,銀行,19000,60,2.11%
921718,2025/8/19,宇都宮営業部,一般,精密平面研削盤,E製造業,2900,0,113049,31952,2309,4158,-6577,1522,10206,17858,484,942,,,新規先,一般リース,2,失注,株式方法変更（開発・自己資金）,2,銀行,14850,84,2.50%
910805,2025/9/29,宇都宮営業部,一般,回転式たててすり,p 医療・福祉,714028,2091,549971,549971,1399,-9804,-9804,64125,,,13403,4462,,9,既存先,一般リース,2,失注,他社合（レート）,,銀行,136.63,60,5.55%
921608,2025/11/28,宇都宮営業部,自動車,三菱 スーパーグレード,H 運輸業・郵便業,44989,15614.4,1551253,183686,114407,115938,70723,1691,18227,34299,,62,158755,,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,17000,60,2.23%
933658,2025/10/1,宇都宮営業部,自動車,ジープ コマンダー,Rサービス業（他に分類されないもの）,102501,,88673,88673,-2835,7540,6182,1525,U,5128,,1943,0,3,新規先,自動車リース,2,失注,,2,銀行,5611.854,84,2.58%
927878,2025/11/11,宇都宮営業部,自動車,メルセデスベンツG 63,Rサービス業（他に分類されないもの）,0,8060,19190,17742,-6983,-520,-641,10954,0,,11154,,0,,既存先,自動車リース,2,失注,■放売見合（普題・建載）,2,銀行,32846.533,60,2.51%
921608,2025/12/11,宇都宮営業部,自動車,三菱 スーパーグレード,H 運輸業・郵便業,44989,15614.4,1551253,183686,114407,115938,70723,1691,18227,34299,,62,158755,4,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,17000,60,2.11%
932749,2025/11/26,宇都宮営業部,一般,リア置きマニプレータ,E製造業,332050,0,2949485,385971,90049,124591,-61727,18229,36627,95956,899,1949,33114,9,新規先,一般リース,2,失注,貴方法大更（開・自己美金）,2,銀行,142030,120,
922810,2024/9/25,宇都宮営業部,自動車,日野プロフィア,H 運輸業・郵便業,195816,0,1719388,97350,25484,42362,34402,2723,174380,136383,112510,10120,58035,5,既存先,自動車リース,2,失注,設■投資見合せ（普通・日菜）,,銀行,19121.69,60,1.46%
919634,2025/10/1,宇都宮営業部,自動車,レックスGHYBRID,Rサービス業（他に分類されないもの）,109681,709.7,1458409,354165,37358,52037,36380,14617,,9566,1338,9586,7543,5,既存先,自動車リース,1,当社受注,,,銀行,2240.582,60,2.91%
