ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
923743,2025/7/10,,一般,バツクホー,D 建設業,24.805,8.2905,88.479,45.983,16.128,21.434,17.566,0.928,,0,0,1.935,6.718,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,5.05,60,3.84%
955629,2025/9/22,,一般,Pharnes X／EXMV-SH560Eシステム③（ハード）,Rサービス業（他に分類されないもの）,15.324,,322.693,139.134,6.835,8.341,6.444,3.473,,,0,5.991,0,4,既存先,一般リース,1,当社受注,,2,銀行,0.3463,60,2.71%
936264,2025/11/10,,一般,サーバー,E 製造業,0,5.854,622.574,264.682,91.718,91.984,61.697,5.998,0,5.701,,12.105,0,無格付,既存先,一般リース,1,当社受注,,2,銀行,1.494,60,2.87%
937965,2025/10/1,,一般,医事システム（ハードウエア）（遠藤産婦人科医院）,p 医療・福祉,0,0,1566.67,1439.314,72.128,101.884,53.833,167.112,,3.558,144.014,31.051,0,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,1.85,60,1.23%
937965,2025/10/1,,一般,医事システム（ハードウエア）（遠藤産婦人科医院）,p 医療・福祉,0,0,1566.67,1439.314,72.128,101.884,53.833,167.112,0,3.558,144.014,31.051,0,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,4.45,60,2.47%
917642,2025/10/20,,一般,防犯カメラ4台リニューアル,Rサービス家（他に分類されないもの）,0.5,0.2568,614.249,396.489,33.087,39.262,39.322,24.648,16.414,67.151,0,14.549,,無格付,既存先,一般リース,1,当社受注,,2,銀行,0.67,60,3.50%
955629,2025/9/26,,一般,Pharnes X/EXMV-SH560Eシステム③（ハード）,Rサービス案（他に分類されないもの）,15.324,0,322.693,139.134,6.835,8.341,6.444,3.473,0,,,5.991,,4,既存先,一般リース,1,当社受注,,2,銀行,1.133457,60,2.57%
955629,2025/7/4,,一般,Pharnes X／EXMV-SH560Eシステム②（ソフト）,Rサービス案（他に分類されないもの）,15.324,0,322.693,139.134,6.835,8.341,6.444,3.473,,0,,5.991,0,無格付,既存先,一般リース,1,当社受注,,,ユーザー,0.7435,84,2.70%
930482,2025/6/18,,割賦,トラックスケール入替・無人計量システム,1卸売業・小売業,215.935,5.3568,547.668,320.902,16.978,11.955,11.428,57.336,0,97.626,0,3.6,,要注意先,既存先,割賦,,当社受注,,2,銀行,7.55,60,4.01%
955629,2025/9/22,,一般,Pharnes X/EXMV-SH560Eシステム②（ソフト）,Rサービス（他に分類されないもの）,15.324,0,322.693,139.134,6.835,8.341,6.444,3.473,0,,,5.991,,無格付,既存先,一般リース,1,当社受注,,2,銀行,0.446543,60,2.50%
