ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
ゆううフラン,,,自動車,ニッサンキャラバン,D 建設業,15552,3580.5,478694,170794,12451,14705,14141,9030,3753,23941,0,11771,0,0,新規先,自動車リース,1,当社受注,,,ユーザー,3757.863,0,3.0070%
91,りかうぞ/3/1？,,自動車,トヨタハイエースバン,D 建設業,367886,27985.9,2088561,365999,71345,58118,30540,16569,18251,37752,,10074,21026,4,既存先,自動車リース,1,当社受注,,,銀行,"3391,391",0,299%0%
01Q00n,,,自動車,フリード,E製造業,11376.45,7179.2,85100,20128,3256,801,246,687,9770,34431,0,2421,0,0,既存先,自動車リース,1,当社受注,,,銀行,2797.836,,3.81%0%
027141,2025/4/1,,一般,ブラストチラー,E 製造業,54052,7353.3,1567697,107947,4779,940,28,9148,6191,26239,0,1670,7127,,既存先,一般リース,,当社受注,,,,3030.0,84,4.1270%
020011,902514/11,,割賦,高周波型バイブロハンマー,D建設業,46250,28119.4,153841,20806,-7704,-7992,375,593,32772,31096,0,1199,23636,5,新規先,割賦,1,当社受注,,,ユーザー,15UUU,,4.2070%
otnEnn,JGiGi BGUG,,一般,揑合機,E製造業,265.246,877.1,3543489,169575,20525,24840,21383,10685,155267,407859,5470,7057,93952,0,既存先,一般リース,1,当社受注,,,ユーザー,CUU,0,3.2170%
