ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
928949,2025/6/20,宇都宮営業部,自動車,日産 ルークス（中古）,D建設業,235.416,6.2757,3363.433,605.919,107.81,85.891,59.779,27.072,0,38.362,0,8.074,0,5,既存先,一般リース,1,当社受注,,2,銀行,1.366605,47,2.83%
912485,2024/6/6,宇都宮営業部,自動車,KOTO製油圧ラフター,D 建設業,122.5,30.2266,1575.669,231.798,23.949,38.435,39.641,26.354,21.414,71.128,0,4.55,303.802,2,既存先,一般リース,1,当社受注,,2,銀行,19.15,60,2.51%
922176,2025/1/21,宇都宮営業部,自動車,GIGAセミトラクタ,H 運輪業・郵便業,126.077,38.4693,395.863,57.833,0.963,-0.42,2.646,1.815,29.867,51.605,,1.428,,9,既存先,自動車リース,1,当社受注,,,銀行,26849.427,60,1.58%
906589,2025/3/24,宇都宮営業部,一般,ヤンマー超小型バックホー,D 建設業,82.244,9.4486,179.467,38.51,4.834,5.324,4.119,2.082,,6.92,0,1.716,10.346,8.1,既存先,一般リース,1,当社受注,,2,銀行,3.9,84,3.41%
915353,2025/4/10,宇都宮営業部,一般,バッテリーフォークリフト,E 製造業,29.5,1.6414,1322.98,120.879,9.569,6.492,5.119,6.237,,,0,9.88,,,新規先,一般リース,1,当社受注,,2,銀行,1.5,60,4.62%
908806,2025/4/16,宇都宮営業部,一般,CROSSTREK Limited 2. 0L e-BOXER,M 宿泊業・飲食サービス業,217.005125,4.7777,559.433,433.852,5.553,9.184,1.085,31.707,,1.965,5.192,36.443,0,8_2,既存先,一般リース,1,当社受注,,2,銀行,1.49,60,3.51%
912002,2025/7/7,宇都宮営業部,自動車,日野デュトロ,H 運輪業・郵便業,59.312,3.6408,1639.259,69.67,-10.231,0.158,3.104,1.769,27.711,49.068,,1.007,104.501,9,既存先,自動車リース,1,当社受注,,,銀行,3.8,60,2.51%
932439,2025/1/31,宇都宮営業部,自動車,レクサス UX300h,D 建設業,10,12.12,393.489,109.495,34.936,37.661,26.613,0.3,1.178,1.618,,16.458,,4,既存先,自動車リース,1,当社受注,,2,銀行,3.137718,60,2.53%
909151,2025/6/27,宇都宮営業部,一般,（株）ミツトヨ輪郭形状・表面粗さ測定器,1卸売業・小売業,29.596,0,789.924,141.857,7.094,11.801,9.59,2.249,,0.725,0,11.203,,3,既存先,一般リース,1,当社受注,,,銀行,0.916,60,2.16%
914670,2025/6/11,宇都宮営業部,一般,スライサー,1卸売業・小売業,201.994,15.13958,7285.143,1242.363,27.998,44.928,44.731,50.017,,26.706,36.206,106.813,,4,既存先,一般リース,1,当社受注,,2,銀行,6.784,60,2.01%
909734,2025/2/27,宇都宮営業部,自動車,キャラバン標準ルーフ,H 運輪業・郵便業,288.869538,16.4603,961.123,508.254,86.045,92.727,77.929,40.014,,77.667,1.015,44.928,,5,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,8.65,60,2.52%
919633,2025/2/3,宇都宮営業部,一般,高圧洗浄機,Rサービス業（他に分類されないもの）,39.092,0.31675,203.098,44.273,17.995,17.501,13.381,0.18,,,0,1.086,0.119,,既存先,一般リース,2,失注,設備投資見合せ（部週・延館）,2,銀行,0.9534,60,5.54%
932608,2025/3/3,宇都宮営業部,自動車,排水処理設備,E製造業,50,0,2183.952,242.991,-21.362,30.973,16.702,4.761,44.081,124.949,2.091,6.999,0.877,3,新規先,自動車リース,2,失注,他社競合（レート）,2,銀行,7.779145,84,2.28%
925820,2025/4/2,宇都宮営業部,自動車,新型ハリアー,D 建設業,5.972,0,828.744,155.454,-11.666,16.248,14.559,1.47,37.542,78.95,0,20.761,61.323,,新規先,自動車リース,2,失注,他社競合（レート）,2,銀行,5,60,2.59%
932776,2025/4/9,宇都宮営業部,割賦,食器類,p 医療・福祉,324.506,0,781.812,781.812,25.392,50.203,38.595,52.663,,5.392,1.025,13.844,,5,新規先,割賦,2,失注,他社競合（レート）,,銀行,2.8,60,2.51%
921608,2025/6/2,宇都宮営業部,自動車,三菱 スーパーグレード,H 運輪業・郵便業,44.989,15.6144,1551.253,183.686,114.407,115.938,70.723,1.691,18.227,34.299,0,0.062,158.755,,既存先,自動車リース,2,失注,他社競合（レート）,,銀行,16.6,60,2.08%
931987,2025/4/10,宇都宮営業部,一般,上下面サンダー機械,E 製造業,24.916,9.5559,373.436,183.472,9.616,9.715,7.677,4.443,,1.994,,7.514,,,既存先,一般リース,1,当社受注,,,銀行,3.4405,72,2.79%
931674,2025/4/11,宇都宮営業部,一般,メルセデス ベンツ,1卸売業・小売業,65.25,9.4656,806.577,376.446,14.707,17.648,16.408,11.474,0,0.67,,34.864,,,既存先,一般リース,2,失注,他社験合（レート）,2,銀行,2.1,60,2.57%
932719,2025/3/26,宇都宮営業部,自動車,日野プロフィア FS③,1卸売業・小売業,77.380956,0,4341.478,162.455,14.157,11.329,6.394,12.52,60.3,84.286,30.748,1.265,11.313,5,新規先,自動車リース,,,,2,銀行,17.5,60,2.51%
928914,2025/5/16,宇都宮営業部,自動車,ノートX FOUR,1卸売業・小売業,106.632,20.5898,1845.095,558.378,114.872,121.716,80.107,15.159,0,20.555,,41.857,0,3,既存先,自動車リース,1,当社受注,,2,銀行,2.439409,60,2.95%
912306,2025/3/26,宇都宮営業部,自動車,ニッサン クリッパートラック 低温冷凍車 DX,E製造業,385.013,47.2914,974.564,386.871,0.676,3.126,4.813,31.696,,20.476,,26.926,,8_2,既存先,自動車リース,1,当社受注,,2,銀行,3.0118,60,3.70%
923273,2024/7/30,宇都宮営業部,自動車,ミニショベル,D建設業,17.161,3.2514,304.978,87.81,5.771,6.232,5.882,0,8.229,15.32,,10.363,0.129,,既存先,自動車リース,2,失注,設備投資見合せ（普通・延用）,,銀行,4.249227,60,3.03%
910711,2025/6/4,宇都宮営業部,自動車,ライズ<HEV>Z②,Rサービス業（他に分類されないもの）,62.994,0.9065,851.285,185.856,9.782,6.671,6.671,10.653,,29.952,,26.287,,8_2,既存先,自動車リース,,,,1,ユーザー,9.1532,60,5.02%
921608,2025/6/16,宇都宮営業部,自動車,三菱 スーパーグレード,H 運輸業・郵便業,44.989,15.6144,1551.253,183.686,114.407,115.938,70.723,1.691,18.227,34.299,,0.062,158.755,4,既存先,自動車リース,2,失注,他社競合（レート）,,銀行,15.71,60,2.05%
921202,2025/4/18,宇都宮営業部,一般,再加熱キャビネット,p 医療・福祉,80.688,,819.092,726.94,6.72,25.137,18.295,39.722,,16.465,,69.036,0,8_1,新規先,一般リース,2,失注,殺貴資見出せ（通・延期）,2,銀行,4,60,3.36%
924572,2025/4/23,宇都宮営業部,一般,IDC在宅ケアマネジメント支援システムSP/追加,Rサービス業（他に分類されないもの）,545.901,3.88154,2390.184,397.191,79.723,84.543,55.579,13.478,210.003,,239.559,0.95,64.779,,既存先,一般リース,2,失注,野道方法変更（超室・日己資金）,2,銀行,0.192,60,5.03%
928914,2025/5/16,宇都宮営業部,自動車,ノートX FOUR,1卸売業・小売業,106.632,20.5898,1845.095,558.378,114.872,121.716,80.107,15.159,,20.555,,41.857,,,既存先,自動車リース,1,当社受注,,2,銀行,2.176864,60,3.05%
919633,2025/2/3,宇都宮営業部,一般,高圧洗浄機,Rサービス業（他に分類されないもの）,39.092,0.31675,203.098,44.273,17.995,17.501,13.381,0.18,,0,,1.086,0.119,,既存先,一般リース,2,失注,設費投資見合せ（部週・監塩）,2,銀行,0.5966,60,5.61%
924066,2025/1/21,宇都宮営業部,割賦,CNC旋盤,E製造業,18,19.7802,312.797,15.853,-25.435,-24.147,-34.334,1.548,27.979,104.028,3.038,3.089,2.355,5,新規先,割賦,1,当社受注,,2,銀行,18.3,84,2.55%
909733,2025/6/2,宇都宮営業部,一般,天井吊型エアコン,E 製造業,7.48,3.1437,117.513,44.656,1.474,1.185,1.066,2.325,1.113,1.701,0,0.41,0.601,0,既存先,一般リース,1,当社受注,,2,銀行,1.35,60,3.78%
910633,2025/3/21,宇都宮営業部,一般,HP製 パソコン10台,E 製造業,300.553,17.82475,1030.196,86.972,-77.182,5.568,8.716,0,105.073,108.769,,2.023,5.063,9,既存先,一般リース,1,当社受注,,2,銀行,2.76,60,2.55%
917104,2025/5/27,宇都宮営業部,一般,D6LGP-20 ブルドーザー,H 運輸業・郵便業,73.776,48.986581,1631.476,1449.894,-15.602,25.762,34.756,19.336,0,14.345,,33.417,0,9,既存先,一般リース,1,当社受注,,2,銀行,40,60,1.85%
930144,2025/5/1,宇都宮営業部,一般,CMSソフト,D建設業,68.768,2.7218,217.689,48.521,2.386,3.512,3.399,0.716,,0.869,0,3.555,0,6,既存先,一般リース,1,当社受注,,2,銀行,1.07,60,4.61%
922152,2025/6/2,宇都宮営業部,一般,炭酸ガスレーザー,p 医療・福祉,14.015,2.4351,1486.484,1174.021,6.632,10.489,10.25,81.523,,18.024,64.115,64.988,,8_2,既存先,一般リース,1,当社受注,,2,銀行,2.1,60,3.22%
