ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
90954,2025/4/,宇都宮営業部,一般,プリンター,p 医療・福祉,18750,57679.3,256600,212586,43284,-12308,-12854,161214,,20140,7997,216071,0,9,既存先,一般リース,1,,,2,銀行,0009,84,2.52%
90913,2025/4/,宇都宮営業部,一般,カービュウティシャン自動式洗車機,1卸売業・小売業,155000,,4409683,648987,291131,65343（,47930（,67323.,0,385406,33267：,179624,0,4,新規先,一般リース,2,失注,他社競合（レート）,1,ユーザー,11305,72,2.50%
92793,2025/3/2,宇都宮営業部,自動車,いすyFORWARD,Rサービス業（他に分類されないもの）,16003,825.6,135888,68954,2302,1917,646,5086,0,8496,0,9359,0,0,既存先,自動車リース,,失注,他社競合（レート）,2,銀行,9270,60,3.21%
922748,2025/2/,宇都宮営業部,一般,画像読取装置 FCR PRIMA T2,p 医療・福祉,144945,7740,342808,275968,17,-3087,99,15719,0,0,0,8347,0,8_2,既存先,一般リース,2,失注,「産方法変更（期売・自己資金）,2,銀行,2700,60,4.02%
932791,2025/4/1,宇都宮営業部,割賦,浄化槽,p 医療・福祉,182382,,162488（,134255（,-61843,-45732,-45474,61791,0,0.,73348,34049,0,4,新規先,割賦,2,失注,無毒方法変更（・自己貴金）,2,銀行,50000,84,
93278,2025/4/1,宇都宮営業部,自動車,ハイエースバン DX GL,1卸売業・小売業,4688,,202010,10695,3216,3553,2430,1972,0,2768,0,5041,0,0,新規先,自動車リース,2,失注,絵鶏役見合せ（改選・延期）,2,銀行,3068.721,60,2.84%
978548,2025/4/,宇都宮営業部,割賦,日立ホイールローダー,,190829,148939.5.,139596：,744966,378235,395050,63186,26150,94897,314020,16877,10437,14858,2,既存先,割賦,2,失注,他社競合（レート）,2,銀行,168000,60,1.80%
922152,2025/4/1！,宇都宮営業部,一般,炭酸ガスレーザー,p 医療・福祉,14015,2435.1,148648,117402,6632,10489,10250,81523,0,18024,64115,64988,0,8_2,既存先,一般リース,2,失注,他社総合（レート）,,銀行,1045,60,3.36%
909734,2025/2/2,宇都宮営業部,自動車,キャラバン標準ルーフ,H 運輸業・郵便業,288869.531,16460.2,961123,508254,86045,92727,77929,40014,0,77667,1015,44928,0,5,既存先,自動車リース,,失注,他社競合（レート）,2,銀行,13852.50,60,2.51%
927932,2025/4/1,宇都宮営業部,自動車,いす ”FORWARD,Rサービス業（他に分類されないもの）,16003,825.6,135888,68954,2302,1917,646,5086,0,8496,,9359,0,0,既存先,自動車リース,2,失注,調方法変更（青・自己資金）,,銀行,10095.82,60,3.01%
929497,2024/11/1,宇都宮営業部,割賦,局所排気設備,E 製造業,82791,6918.8,1232864,35627,-49054,-37205,-36073,9183,17501,85777,,8499,3736,8_1,既存先,割賦,1,当社受注,,2,銀行,3748,60,2.98%
912004,2025/5/,宇都宮営業部,割賦,MAXHUB V7 Xboard V5550,Rサービス茶（他に分類されないもの）,127077,1550.5,45836,45836,2071,-75,-145,4327,D,0,393,0,0,8_1,既存先,割賦,1,当社受注,,2,銀行,605.52,60,5.27%
921873,2025/4/2,宇都宮営業部,割賦,屋内消火栓ポンプ,Rサービス業（他に分類されないもの）,51000,23506.95,2327629,2042381,82619,31824,23875,153546,0,58689,0,180183,,,既存先,割賦,1,当社受注,,2,銀行,4149.25,60,3.22%
932886,2025/5/12,宇都宮営業部,一般,プリウス（中古）,Rサービス業（他に分類されないもの）,83325,0,2932824,587641,35774,115931,36914,148936,,96167,,83723,0,3,新規先,一般リース,1,当社受注,,,銀行,499.45,60,4.43%
921103,2024/12/2（,宇都宮営業部,自動車,プリウスX,E製造業,784260,9260.4,611192,456876,9955,1745,1150,35224,0,53355,,20526,0,4,既存先,自動車リース,1,当社受注,,,銀行,3019.264,60,1.92%
924145,2025/2/21,宇都宮営業部,一般,タジマ刺繍機,E製造業,60321,6591.4,192900,39856,212,1034,510,,11848,23493,U,0,6469,8.2,既存先,一般リース,1,当社受注,,2,銀行,2146,60,4.16%
929240,2025/4/15,宇都宮営業部,割賦,UTM機器,Rサービス業（他に分類されないもの）,75121,13304.8,57329,50510,3626,2064,1875,3488,,1055,0,4198,0,9,既存先,割賦,1,当社受注,,2,銀行,2300,60,3.91%
931137,2025/4/28,宇都宮営業部,自動車,③中古エルフ2t（初年度H26年10月）,Rサービス第（他に分類されないもの）,168586,20143.8,855587,437774,47605,47330,35299,22783,,31476,0,49773,,5,既存先,自動車リース,1,当社受注,,2,銀行,3537.345,60,4.06%
950239,2025/5/1,宇都宮営業部,一般,高速自動値付ラベラー,1卸売業・小売業,295241,16550.3,3016912,598030,23197,9012,28171,21043,15572,54694,1192,67271,12103,5,既存先,一般リース,1,当社受注,,2,銀行,1680,84,3.25%
931137,2025/4/28,宇都宮営業部,自動車,③中古エルフ2t（初年度H26年10月）,Rサービス業（他に分類されないもの）,168586,20143.8,855587,437774,47605,47330,35299,22783,,31476,,49773,0,5,既存先,自動車リース,1,当社受注,,2,銀行,2628.345,60,4.05%
909543,2025/4/23,宇都宮営業部,一般,プリンター,p 医療・福祉,18750,57679.31,2566008,2125866,43284,-12308,-12854,161214,,20140,7997,216071,0,9,既存先,一般リース,1,当社受注,,2,銀行,931.7,60,3.02%
922826,2025/4/16,宇都宮営業部,自動車,AED ①,E製造業,248568,31366.4,986302,369416,86076,95384,-36932,0,64392,38024,,20944,0,5,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,3620.002,60,2.86%
912004,2025/4/30,宇都宮営業部,一般,MAXHUB V7 Xboard V5550,Rサービス策（他に分類されないもの）,127077,1550.5,45836,45836,2071,-75,-145,4327,,,393,0,,8_1,既存先,一般リース,2,失注,その他（不成約）,2,銀行,605.52,60,4.68%
923484,2025/3/13,宇都宮営業部,自動車,トヨタハイエースパン,D建設業,367886,27985.9,2088561,365999,71345,58118,30540,16569,18251,37752,0,10074,21026,,既存先,自動車リース,1,当社受注,,2,銀行,3427.482,60,2.69%
918242,2025/1/7,宇都宮営業部,自動車,ELF ワイド,D建設業,26929,0,1089395,106310,6298,8150,9280,10347,4454,41814,0,9673,25460,9,既存先,自動車リース,2,失注,他社期合（レート）,2,銀行,7250,60,2.21%
932742,2025/4/2,宇都宮営業部,一般,パソコン（中古）,Rサービス業（他に分類されないもの）,7996,,1148049,68782,13894,11807,8462,30870,0,,0,5410,0,0,新規先,一般リース,2,失注,物件不適,2,銀行,"711,455",60,
927453,2024/12/18,宇都宮営業部,自動車,ノア 8人乗り,D建設業,900,336,283920,182494,6810,12364,7646,6843,0,3271,0,3981,0,0,既存先,自動車リース,2,失注,,2,銀行,2878.481,60,2.64%
932306,2025/1/20,宇都宮営業部,自動車,レクサスNX350h,Rサービス業（他に分類されないもの）,54656,,136664,74483,6550,8131,6257,4458,D,3375,0,1341,0,2,新規先,自動車リース,2,失注,他社競合（レート）,2,銀行,"6214,636",60,2.51%
931649,2025/2/25,宇都宮営業部,一般,インクジェットプリンタ,E製造業,16337,2778.3,261558,153902,26061,24817,17889,3940,0,28924,0,25216,0,,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,1300,60,2.67%
932607,2025/3/3,宇都宮営業部,一般,DDHBOXソフトウェア,E製造業,40000,,461792,57126,6848,16439,7009,9327,8402,73686,1050,1624,2667,0,既存先,一般リース,2,失注,関産方法食更（超・ご会）,2,銀行,900,60,2.71%
923782,2025/3/25,宇都宮営業部,一般,ESシステム一式,Rサービス業（他に分類されないもの）,47568,14186.2,756094,756094,-12846,1355,1355,42536,0,6547,3968,,0,5,既存先,一般リース,2,失注,他社合（レート）,2,銀行,2335.6,84,2.56%
932789,2025/4/14,宇都宮営業部,自動車,ハイエースパン DX GL,1卸売業・小売業,4688,,202010,106953,3216,3553,2430,1972,0,2768,0,5041,0,0,新規先,自動車リース,2,失注,関連方法変更（定・自己資金）,2,銀行,3068.727,60,2.81%
