取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
ゆううフラン,0,0,D 建設業,0,新規先,0,その他,0,0,3.757863,0,ニッサンキャラバン,0,0,0,0,自動車,478.694,170.794,12.451,14.705,14.141,0,0,23.941,0,9.03,3.753,11.771,0,15.552,3.5805,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.0070,0,0,0,0,0
91,りかうぞ/3/1？,0,D 建設業,0,既存先,0,銀行紹介,0,0,3391.391,0,トヨタハイエースバン,0,0,0,0,自動車,2088.561,365.999,71.345,58.118,30.54,0,0,37.752,0,16.569,18.251,10.074,21.026,367.886,27.9859,0,4,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2990,0,0,0,0,0
01Q00n,0,0,E製造業,0,既存先,0,銀行紹介,0,0,2.797836,0,フリード,0,0,0,0,自動車,85.1,20.128,3.256,0.801,0.246,0,0,34.431,0,0.687,9.77,2.421,0,11.37645,7.1792,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.810,0,0,0,0,0
027141,2025-04-01,0,E 製造業,0,既存先,0,0,2025,84,3.03,0,ブラストチラー,0,0,0,0,一般,1567.697,107.947,4.779,0.94,0.028,0,0,26.239,0,9.148,6.191,1.67,7.127,54.052,7.3533,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.1270,0,0,0,0,0
020011,902514/11,0,D建設業,0,新規先,0,その他,0,0,0.015,0,高周波型バイブロハンマー,0,0,0,0,割賦,153.841,20.806,-7.704,-7.992,0.375,0,0,31.096,0,0.593,32.772,1.199,23.636,46.25,28.1194,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.2070,0,0,0,0,0
otnEnn,JGiGi BGUG,0,E製造業,0,既存先,0,その他,0,0,0,0,揑合機,0,0,0,0,一般,3543.489,169.575,20.525,24.84,21.383,0,0,407.859,5.47,10.685,155.267,7.057,93.952,0.265246,0.8771,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.2170,0,0,0,0,0
