ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
978548,2025/11/4,宇都宮営業部,割賦,日立ホイールローダー,E 製造業,190.829,148.93953,1395.963,744.966,378.235,395.05,63.186,26.15,94.897,314.02,16.877,10.437,14.858,無格付,既存先,割賦,2,失注,他社競合（レート）,2,銀行,2.1,60,2.56%
932365,2025/4/4,宇都宮営業部,自動車,いす”FORWARD,E製造業,13.32,0,248.342,48.846,7.485,8.715,10.462,1.4,5.481,31.926,0.407,0.764,2.4,無格付,新規先,自動車リース,2,失注,数値演見合せ（造・提意）,2,銀行,10.4,60,2.54%
933488,2025/9/29,宇都宮営業部,一般,ラベルプリンタ,p 医療・福祉,98.333,2.7268,4564.804,3644.365,82.919,58.833,43.966,103.75,,21.814,3.134,173.323,,5,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,5.1779,60,2.54%
921202,2025/10/6,宇都宮営業部,自動車,再加熱キャビネット,p 医療・福祉,80.688,0,819.092,726.94,6.72,25.137,18.295,39.722,,16.465,,69.036,,要注意先,既存先,自動車リース,2,失注,設費後資見合せ（新・超期）,2,銀行,0.970682,29,3.06%
933935,2025/11/19,宇都宮営業部,自動車,XC60 UltraT6 AWD,D建設業,10,0,98.465,36.274,0.032,-0.389,069-,4.789,3.674,10.807,,1.492,0.775,無格付,新規先,自動車リース,,失注,物件不適,2,銀行,9.839636,60,4.01%
933446,2025/8/19,宇都宮営業部,自動車,メルセデスベンツ,1卸売業・小売業,50,0,255.809,43.275,9.757,8.892,6.885,2.057,0,0.878,,2.571,,無格付,新規先,自動車リース,2,失注,数電投資売合せ（新・菜）,2,銀行,10.844704,60,2.51%
909193,2025/7/28,宇都宮営業部,一般,CNC旋盤,E 製造業,5.772,0,73.852,13.216,-4.748,-3.023,-3.104,0,9.433,31.975,,0.36,1.572,無格付,新規先,一般リース,,失注,業績不振,2,銀行,13.5,84,5.01%
932848,2025/5/2,宇都宮営業部,一般,CNC画像測定器,E製造業,62.67,0,646.965,59.625,8.147,0.669,11.922,0.563,42.382,97.421,,4.159,9.857,9,新規先,一般リース,2,失注,他社合（レート）,2,銀行,18.8,120,2.51%
933656,2025/10/1,宇都宮営業部,一般,業務用パソコン 3台,E製造業,20,0,203.402,42.095,-15.323,-4.052,-3.297,2.563,4.253,5.642,,9.946,0.594,無格付,新規先,一般リース,2,失注,他社競合（レート）,2,銀行,0.85,60,2.63%
933734,2025/10/28,宇都宮営業部,自動車,ハイエースV R02年 ： ハイエースバン DX,D建設業,32.497,0,269.987,82.161,9.977,12.433,3.54,2.768,0,0.706,,3.26,,9,既存先,自動車リース,2,失注,男方法次更（開発・自己責金）,2,銀行,4.644547,60,3.51%
919936,2025/8/15,宇都宮営業部,自動車,GIGA20（標準）ダンプ,1卸売業・小売業,120.744,7.7879,429.258,114.176,-1.648,0.157,0.076,,,12.7,,6.002,0,要注意先,既存先,自動車リース,2,失注,設■投資見合せ（禁・思席）,2,銀行,15.8,60,3.50%
922176,2025/8/26,宇都宮営業部,自動車,GIGAセミトラクタ,H 運輪業・郵便業,126.077,38.4693,395.863,57.833,0.963,-0.42,2.646,1.815,29.867,51.605,,1.428,,無格付,既存先,自動車リース,2,失注,新方法大更（製造・魚己資金）,,銀行,13.065064,60,2.51%
926690,2025/10/15,宇都宮営業部,自動車,トヨタL&F カウンターバランス ディーゼルエンジン式,E 製造業,21.833,0,511.187,58.626,7.333,7.916,6.11,0.434,8.461,12.779,,17.327,0,無格付,新規先,自動車リース,1,当社受注,,,銀行,2.76,60,2.55%
